,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,da-lite,nan,nan,343.99,da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general,iogear,nan,nan,203.95,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,1
1,da-lite,nan,nan,343.99,kodak esp 3250 all-in-one printer value bundle,nan,nan,nan,203.95,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,1
2,da-lite,nan,nan,343.99,da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general,nan,cleaning repair,nan,203.95,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505 storage presentation materials tops 19.0,1
3,da-lite,nan,nan,17.13,da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general,nan,nan,nan,230.74,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,1
4,da-lite,nan,q3675a,343.99,da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general,nan,nan,q3675a,203.95,birdhouse tony hawk 16gb ptero skatedrive usb flash drive action,1
5,da-lite,nan,nan,343.99,da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general,nan,nan,nan,203.95,iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49,1
6,nan,nan,nan,343.99,da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general,nan,nan,nan,203.95,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,1
7,da-lite,nan,nan,343.99,da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general,nan,nan,nan,65.0,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,1
8,da-lite,nan,nan,17.13,da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general,nan,nan,nan,203.95,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,1
9,da-lite,stationery & office machinery,nan,343.99,da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general,nan,nan,nan,203.95,san francisco 49ers ipod touch 4g hard case tribeca,1
