,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,hard drives,nan,pa50250u5yr,nan,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format 8729.48,external hard drives,nan,nan,203.95,1
1,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,hard drives,da-lite,pa50250u5yr,nan,ifrogz luxe lean case for ipod touch 4g gun metal cases ifrogz,external hard drives,nan,nan,64.24,1
2,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,mp3 accessories,nan,pa50250u5yr,nan,da-glas base rear projection screen - 70 x 70 av format da-lite,external hard drives,nan,nan,64.24,1
3,da-lite da-plex standard rear projection screen - 60 x 80 video format electronics - general da-lite 27544 2931.99,hard drives,nan,87062,nan,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,external hard drives,nan,nan,64.24,1
4,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,hard drives,nan,pa50250u5yr,nan,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format 8729.48,external hard drives,nan,it4ll-gmt,64.24,1
5,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g electronics - general apc be750g 95.88,hard drives,nan,pa50250u5yr,nan,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,external hard drives,da-lite,nan,64.24,1
6,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,hard drives,nan,pa50250u5yr,nan,iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49,external hard drives,nan,nan,64.24,1
7,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,hard drives,nan,sf16n4/tqp,nan,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,external hard drives,nan,nan,64.24,1
8,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,tv accessories,nan,pa50250u5yr,nan,canon 2455b002 imageformula dr-2510c compact color scanner 617.99,external hard drives,nan,nan,64.24,1
9,pioneer 6.5 3-way speakers 300w car stereos pioneer,nan,nan,pa50250u5yr,nan,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,external hard drives,nan,nan,64.24,1
