,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Brewmaster 's Reserve Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,1
1,Double Dragon Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Granite Falls Bushfire American Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,1
2,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,Irish Ale,6.50 %,1
3,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,7.40 %,0
4,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Scuttlebutt Brewing Co. .,American Strong Ale,10 %,1
5,Red Shedman 's Imperial Amber Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,1
6,Twisted Stick Amber Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,1
7,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,7.60 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Ballast Point Brewing Company,American Strong Ale,10 %,1
8,Bourbon Barrel Aged Horus Imperial Red,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,Premium Bitter/ESB,10 %,1
9,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Pizza Port Rhino Chaser Imperial Red Ale,Ballast Point Brewing Company,Amber Ale,10 %,1
