,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Inception Series - Runnin ' With The Devil,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,0
1,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Kern River Dirty Hippie Imperial Red Ale,Good People Brewing Company,Amber Ale,4.90 %,0
2,Inception Series - Runnin ' With The Devil,Bier Kaffee Aqula,American Barleywine,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,0
3,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,Amber Ale,4.90 %,0
4,Inception Series - Runnin ' With The Devil,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Winthrop Double Dry Hopped Amber,Heavy Seas Brewing Company,Amber Ale,4.90 %,0
5,Inception Series - Runnin ' With The Devil,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,0
6,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Heavy Seas Desert Island Series American Honey Amber Ale,Big Time Brewery,Premium Bitter/ESB,4.90 %,1
7,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Big Time Lift Ticket American Red Ale,Riverbend Brewing & Sports Pub,Amber Ale,4.90 %,0
8,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Big Island Red Giant Ale,Figure Eight Brewing,Amber Ale,4.90 %,0
9,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,Big Time Lift Ticket American Red Ale,Heavy Seas Brewing Company,Irish Ale,4.90 %,0
