,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,St Peters Amarillo Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('rtable_Beer_Name',)",['Laurelwood Organic Deranger Imperial Red Ale'],['St Peters Amarillo Ale'],0.33467177,0.6653282,2
22,Lavery Imperial Red Ale,Ironworks Brewpub,American Amber / Red Ale,8.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Lavery Brewing Company', 'American Amber / Red Ale']","['Ironworks Brewpub', 'American Amber / Red Ale']",0.26395214,0.73604786,2
23,Lavery Imperial Red Ale,Ironworks Brewpub,American Amber / Red Ale,6.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Lavery Brewing Company', '8.20 %']","['Ironworks Brewpub', '6.20 %']",0.28227475,0.7177253,2
15,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Noble Ale Works Alpha Red,Laurelwood Public House & Brewery,American Strong Ale,7.20 %,"('rtable_Beer_Name', 'rtable_ABV')","['Laurelwood Organic Deranger Imperial Red Ale', '8.60 %']","['Noble Ale Works Alpha Red', '7.20 %']",0.4698503,0.53014976,2
14,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Noble Ale Works Alpha Red,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('rtable_Beer_Name', 'rtable_Style')","['Laurelwood Organic Deranger Imperial Red Ale', 'American Strong Ale']","['Noble Ale Works Alpha Red', 'American Strong Ale']",0.3001281,0.69987184,2
13,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Noble Ale Works Alpha Red,Noble Ale Works,American Strong Ale,8.60 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Laurelwood Organic Deranger Imperial Red Ale', 'Laurelwood Public House & Brewery']","['Noble Ale Works Alpha Red', 'Noble Ale Works']",0.107887566,0.89211243,2
12,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Noble Ale Works Alpha Red,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('rtable_Beer_Name',)",['Laurelwood Organic Deranger Imperial Red Ale'],['Noble Ale Works Alpha Red'],0.3001281,0.69987184,2
35,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Big Boss Miss Charlotte,Laurelwood Public House & Brewery,American Pale Ale,8.60 %,"('rtable_Beer_Name', 'rtable_Style')","['Laurelwood Organic Deranger Imperial Red Ale', 'American Strong Ale']","['Big Boss Miss Charlotte', 'American Pale Ale']",0.37565678,0.6243432,2
21,Tangle Foot Red,Ironworks Brewpub,American Amber / Red Ale,8.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Lavery Imperial Red Ale', 'Lavery Brewing Company']","['Tangle Foot Red', 'Ironworks Brewpub']",0.40463927,0.5953607,2
20,Lavery Imperial Red Ale,Ironworks Brewpub,American Amber / Red Ale,8.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Brew_Factory_Name',)",['Lavery Brewing Company'],['Ironworks Brewpub'],0.26395214,0.73604786,2
8,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Andrews Leatherwood Red,Laurelwood Public House & Brewery,Amber Ale,8.60 %,"('rtable_Beer_Name', 'rtable_Style')","['Laurelwood Organic Deranger Imperial Red Ale', 'American Strong Ale']","['Andrews Leatherwood Red', 'Amber Ale']",0.46237728,0.53762263,2
34,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Big Boss Miss Charlotte,Big Boss Brewing Company,American Strong Ale,8.60 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Laurelwood Organic Deranger Imperial Red Ale', 'Laurelwood Public House & Brewery']","['Big Boss Miss Charlotte', 'Big Boss Brewing Company']",0.39695963,0.60304034,2
28,Lavery Imperial Red Ale,Microbrasserie Aux Fous Brassant,American Amber / Red Ale,8.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Brew_Factory_Name',)",['Lavery Brewing Company'],['Microbrasserie Aux Fous Brassant'],0.4147808,0.58521926,2
29,Hurluberlue,Microbrasserie Aux Fous Brassant,American Amber / Red Ale,8.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Lavery Imperial Red Ale', 'Lavery Brewing Company']","['Hurluberlue', 'Microbrasserie Aux Fous Brassant']",0.22929968,0.7707004,2
30,Lavery Imperial Red Ale,Microbrasserie Aux Fous Brassant,American Amber / Red Ale,8.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Lavery Brewing Company', 'American Amber / Red Ale']","['Microbrasserie Aux Fous Brassant', 'American Amber / Red Ale']",0.41478094,0.5852191,2
3,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,St Peters Amarillo Ale,Laurelwood Public House & Brewery,American Strong Ale,4.80 %,"('rtable_Beer_Name', 'rtable_ABV')","['Laurelwood Organic Deranger Imperial Red Ale', '8.60 %']","['St Peters Amarillo Ale', '4.80 %']",0.3826125,0.6173875,2
2,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,St Peters Amarillo Ale,Laurelwood Public House & Brewery,Golden Ale/Blond Ale,8.60 %,"('rtable_Beer_Name', 'rtable_Style')","['Laurelwood Organic Deranger Imperial Red Ale', 'American Strong Ale']","['St Peters Amarillo Ale', 'Golden Ale/Blond Ale']",0.2528871,0.74711293,2
1,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,St Peters Amarillo Ale,St Peters &#40; UK &#41;,American Strong Ale,8.60 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Laurelwood Organic Deranger Imperial Red Ale', 'Laurelwood Public House & Brewery']","['St Peters Amarillo Ale', 'St Peters &#40; UK &#41;']",0.43069497,0.56930506,2
24,Tangle Foot Red,Ironworks Brewpub,American Amber / Red Ale,8.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style')","['Lavery Imperial Red Ale', 'Lavery Brewing Company', 'American Amber / Red Ale']","['Tangle Foot Red', 'Ironworks Brewpub', 'American Amber / Red Ale']",0.40463895,0.5953611,3
26,Lavery Imperial Red Ale,Ironworks Brewpub,American Amber / Red Ale,6.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV')","['Lavery Brewing Company', 'American Amber / Red Ale', '8.20 %']","['Ironworks Brewpub', 'American Amber / Red Ale', '6.20 %']",0.28227475,0.7177253,3
25,Tangle Foot Red,Ironworks Brewpub,American Amber / Red Ale,6.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', 'Lavery Brewing Company', '8.20 %']","['Tangle Foot Red', 'Ironworks Brewpub', '6.20 %']",0.39907336,0.60092664,3
16,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Noble Ale Works Alpha Red,Noble Ale Works,American Strong Ale,8.60 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Laurelwood Organic Deranger Imperial Red Ale', 'Laurelwood Public House & Brewery', 'American Strong Ale']","['Noble Ale Works Alpha Red', 'Noble Ale Works', 'American Strong Ale']",0.107887566,0.89211243,3
