,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Lavery Imperial Red Ale,Nebraska Brewing Company,American Amber / Red Ale,8.20 %,Heist American Style Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,1
1,Lavery Imperial Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,5.60 %,1
2,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,6.00 %,Laurelwood Organic Deranger Imperial Red Ale,Kern River Brewing,American Strong Ale,8.60 %,1
3,Lavery Imperial Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,8.20 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,0
4,Buffalo Soul Jah Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,Barley Wine,8.60 %,1
5,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,7.60 %,1
6,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Granite Falls Bushfire American Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,1
7,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Bristol Old No. 23 Barley Wine,18th Street Brewery,American Strong Ale,8.60 %,1
8,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,5.80 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,1
9,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Pizza Port Rhino Chaser Imperial Red Ale,Laurelwood Public House & Brewery,Irish Ale,8.60 %,1
