,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Elevator Barrel Aged Barley Wine ( Bar Bar ),Elevator Brewery & Draught Haus,American Barleywine,11.00 %,Actual Bourbon Barrel Aged Elektron,Hopworks Urban Brewery,Barley Wine,9.50 %,"('rtable_Beer_Name',)",['Hopworks Bourbon Aged Noggin Floggin Barley Wine'],['Actual Bourbon Barrel Aged Elektron'],0.3140183,0.6859817,2
27,Old Ruffian Barley Wine,Great Divide Brewing Company,American Barleywine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Elevator Barrel Aged Barley Wine ( Bar Bar )', 'Elevator Brewery & Draught Haus']","['Old Ruffian Barley Wine', 'Great Divide Brewing Company']",0.4561328,0.5438672,2
28,Elevator Barrel Aged Barley Wine ( Bar Bar ),Great Divide Brewing Company,American Barleywine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Elevator Brewery & Draught Haus', 'American Barleywine']","['Great Divide Brewing Company', 'American Barleywine']",0.038743388,0.9612566,2
34,Elevator Barrel Aged Barley Wine ( Bar Bar ),Barley Mow Brewing Company,American Barleywine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,"('ltable_Brew_Factory_Name',)",['Elevator Brewery & Draught Haus'],['Barley Mow Brewing Company'],0.27825156,0.7217485,2
35,Elevator Barrel Aged Barley Wine ( Bar Bar ),Barley Mow Brewing Company,American Barleywine,7.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Elevator Brewery & Draught Haus', '11.00 %']","['Barley Mow Brewing Company', '7.00 %']",0.15737346,0.8426266,2
37,Elevator Barrel Aged Barley Wine ( Bar Bar ),Elevator Brewery & Draught Haus,American Barleywine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Barrel Harbor Brewing,Barley Wine,9.50 %,"('rtable_Brew_Factory_Name',)",['Hopworks Urban Brewery'],['Barrel Harbor Brewing'],0.13057587,0.8694241,2
38,Elevator Barrel Aged Barley Wine ( Bar Bar ),Elevator Brewery & Draught Haus,American Barleywine,11.00 %,Barrel Harbor Red Ale,Hopworks Urban Brewery,Irish Ale,9.50 %,"('rtable_Beer_Name', 'rtable_Style')","['Hopworks Bourbon Aged Noggin Floggin Barley Wine', 'Barley Wine']","['Barrel Harbor Red Ale', 'Irish Ale']",0.28061816,0.7193818,2
39,Elevator Barrel Aged Barley Wine ( Bar Bar ),Elevator Brewery & Draught Haus,American Barleywine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Barrel Harbor Brewing,Irish Ale,9.50 %,"('rtable_Brew_Factory_Name', 'rtable_Style')","['Hopworks Urban Brewery', 'Barley Wine']","['Barrel Harbor Brewing', 'Irish Ale']",0.053371344,0.9466286,2
40,Elevator Barrel Aged Barley Wine ( Bar Bar ),Elevator Brewery & Draught Haus,American Barleywine,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Barrel Harbor Brewing,Barley Wine,5.20 %,"('rtable_Brew_Factory_Name', 'rtable_ABV')","['Hopworks Urban Brewery', '9.50 %']","['Barrel Harbor Brewing', '5.20 %']",0.22945774,0.77054226,2
44,Elevator Barrel Aged Barley Wine ( Bar Bar ),O'Fallon Brewery,American Amber / Red Ale,11.00 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Elevator Brewery & Draught Haus', 'American Barleywine']","[""O'Fallon Brewery"", 'American Amber / Red Ale']",0.46328756,0.5367124,2
