,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,"canon deluxe grey leather case 2349b001 genuine leather case designed for the powershot sd770 is , sd1100 and sd1000 grey finish",sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,nan,"samsung ln22a451 22 ' widescreen lcd hdtv 3,000:1 dynamic contrast ratio 8ms response time white",sony np-fh100 lithium ion camcorder battery npfh100,7.99,1
1,"canon deluxe grey leather case 2349b001 genuine leather case designed for the powershot sd770 is , sd1100 and sd1000 grey finish",samsung 50 ' widescreen plasma hdtv pn50a650,nan,leather black,nikon digital camera leather case 5811,nan,1
2,"canon deluxe grey leather case 2349b001 genuine leather case designed for the powershot sd770 is , sd1100 and sd1000 grey finish",sanus 15 ' 37 ' visionmount full-motion flat panel tv black wall mount mf215b1,89.0,leather black,nikon digital camera leather case 5811,119.36,1
3,"canon deluxe grey leather case 2349b001 genuine leather case designed for the powershot sd770 is , sd1100 and sd1000 grey finish",sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,35.0,"samsung ln22a451 22 ' widescreen lcd hdtv 3,000:1 dynamic contrast ratio 8ms response time white",sony np-fh100 lithium ion camcorder battery npfh100,7.99,1
4,"canon deluxe grey leather case 2349b001 genuine leather case designed for the powershot sd770 is , sd1100 and sd1000 grey finish",lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,leather black,lg 5.6 cu.ft . freestanding electric range,7.99,1
5,"canon black rechargeable battery 9612a001 lithium-ion technology compatible with canon digital rebel xt and powershot s series digital cameras also compatible with canon elura series , optura series and zr series camcorders black finish",canon silver 8.0 megapixel powershot digital camera sd1100is,178.0,panasonic kx-tga670b additional handset for pankxtg6700b,canon powershot sd1100 is digital elph camera swing silver 2508b001,7.99,1
6,"lg 14 ' washer and dryer red pedestal with drawer wdp3r each drawer has storage for laundry bottles , boxes and more provides easy access to front loading doors by raising the washer and dryer by 14 ' minimizes bending and stooping at doors red finish",canon deluxe soft black camera case 0716b001,139.0,leather black,nikon digital camera leather case 5811,144.05,1
7,"canon deluxe grey leather case 2349b001 genuine leather case designed for the powershot sd770 is , sd1100 and sd1000 grey finish",sanus 15 ' 37 ' visionmount full-motion flat panel tv black wall mount mf215b1,69.0,"canon eos rebel xs digital slr camera with 10 megapixel , 2.5 ' lcd , 3 frames per sec & live view mode black",nikon digital camera leather case 5811,11.89,1
8,"canon deluxe grey leather case 2349b001 genuine leather case designed for the powershot sd770 is , sd1100 and sd1000 grey finish",canon deluxe grey leather case 2349b001,69.0,leather black,olympus neoprene soft camera case 202066,479.0,1
9,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",olympus premium slim leather case in black 202087,nan,leather black,belkin neoprene sleeve for macbook air neoprene black,1699.98,1
