,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g,electronics - general,apc,be450g,95.88,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,batteries chargers accessories,apc,be450g,55.99,"('ltable_modelno',)",['be750g'],['be450g'],0.04923200607299805,0.950767993927002,2
1,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,electronics - general,apc,be750g,95.88,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,batteries chargers accessories,apc,be450g,55.99,"('ltable_title',)",['apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g'],['apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply'],0.0542377233505249,0.9457622766494751,2
2,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g,electronics - general,apc,be450g,95.88,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,batteries chargers accessories,apc,be450g,55.99,"('ltable_modelno',)",['be750g'],['be450g'],0.04923200607299805,0.950767993927002,2
3,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g,electronics - general,apc,be750g,95.88,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,batteries chargers accessories,apc,be750g,55.99,"('rtable_modelno',)",['be450g'],['be750g'],0.04843258857727051,0.9515674114227295,2
4,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g,electronics - general,apc,be750g,95.88,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,batteries chargers accessories,apc,be750g,55.99,"('rtable_modelno',)",['be450g'],['be750g'],0.04843258857727051,0.9515674114227295,2
5,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g,electronics - general,apc,be750g,95.88,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,batteries chargers accessories,apc,be750g,55.99,"('rtable_modelno',)",['be450g'],['be750g'],0.04818904399871826,0.9518109560012817,2
6,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g,electronics - general,apc,be450g,95.88,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,batteries chargers accessories,apc,be450g,55.99,"('ltable_modelno',)",['be750g'],['be450g'],0.04923200607299805,0.950767993927002,2
7,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g,electronics - general,apc,be450g,95.88,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,batteries chargers accessories,apc,be450g,55.99,"('ltable_modelno',)",['be750g'],['be450g'],0.04923200607299805,0.950767993927002,2
8,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g,electronics - general,apc,be750g,95.88,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,batteries chargers accessories,apc,be750g,55.99,"('rtable_modelno',)",['be450g'],['be750g'],0.04843258857727051,0.9515674114227295,2
9,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g,electronics - general,apc,be450g,95.88,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,batteries chargers accessories,apc,be450g,55.99,"('ltable_modelno',)",['be750g'],['be450g'],0.04923200607299805,0.950767993927002,2
