,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,instant immersion spanish 2.0,topics entertainment,999.99,instant immers japanese dlx 2 .,nan,20.95,1
1,instant immersion spanish 2.0,topics entertainment,2499.0,instant immers japanese dlx 2 .,global-software-publishing,36.11,1
2,microsoft visual studio professional 2005 upgrade,topics entertainment,29.99,instant immers japanese dlx 2 .,riverdeep-learning-company,36.11,0
3,quicken 2007 basic,topics entertainment,29.99,instant immers japanese dlx 2 .,global-software-publishing,36.11,1
4,microsoft visio standard 2007,topics entertainment,29.99,instant immers japanese dlx 2 .,nan,36.11,1
5,instant immersion spanish 2.0,topics entertainment,59.99,apple apple mac os x server 10 4 7 10 client,nan,36.11,1
6,sims 2 glamour life stuff pack,topics entertainment,29.99,adobe cs3 design standard upgrade,nan,36.11,1
7,adobe flash pro cs3 upgrade [ mac ],topics entertainment,29.99,instant immers japanese dlx 2 .,punch software,36.11,1
8,instant immersion spanish 2.0,nolo press,29.99,instant immers japanese dlx 2 .,nan,499.0,1
9,microsoft word 2007 version upgrade,topics entertainment,199.99,instant immers japanese dlx 2 .,nan,36.11,1
