,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,apple software m9372z/a final cut express,apple software,1299.0,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title', 'ltable_manufacturer')","['apple final cut studio 2 ( mac )', 'apple']","['apple software m9372z/a final cut express', 'apple software']",0.43145934,0.56854063,2
19,apple final cut studio 2 ( mac ),apple,1299.0,final cut studio 2 ( mac ),apple software,1299.0,"('rtable_title', 'rtable_price')","['apple software m9372z/a final cut express 2.0 upgrade', 79.99]","['final cut studio 2 ( mac )', 1299.0]",0.010022958,0.98997706,2
18,apple final cut studio 2 ( mac ),apple,1299.0,final cut studio 2 ( mac ),apple,79.99,"('rtable_title', 'rtable_manufacturer')","['apple software m9372z/a final cut express 2.0 upgrade', 'apple software']","['final cut studio 2 ( mac )', 'apple']",0.0020246136,0.9979754,2
17,apple final cut studio 2 ( mac ),apple,1299.0,final cut studio 2 ( mac ),apple software,79.99,"('rtable_title',)",['apple software m9372z/a final cut express 2.0 upgrade'],['final cut studio 2 ( mac )'],0.0051628156,0.99483716,2
15,final cut express 2.0 upgrade,apple,79.99,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title', 'ltable_price')","['apple final cut studio 2 ( mac )', 1299.0]","['final cut express 2.0 upgrade', 79.99]",0.44130585,0.5586942,2
13,apple software m9372z/a final cut express 2.0 upgrade,apple,79.99,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title', 'ltable_price')","['apple final cut studio 2 ( mac )', 1299.0]","['apple software m9372z/a final cut express 2.0 upgrade', 79.99]",0.023325644,0.9766743,2
12,apple software m9372z/a final cut express 2.0 upgrade,software,1299.0,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title', 'ltable_manufacturer')","['apple final cut studio 2 ( mac )', 'apple']","['apple software m9372z/a final cut express 2.0 upgrade', 'software']",0.16979918,0.8302008,2
21,final cut express 2.0 upgrade,apple,99.99,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title', 'ltable_price')","['apple final cut studio 2 ( mac )', 1299.0]","['final cut express 2.0 upgrade', 99.99]",0.18778294,0.81221706,2
9,apple final cut studio 2 ( mac ),apple,1299.0,apple final cut studio 2,apple software,1299.0,"('rtable_title', 'rtable_price')","['apple software m9372z/a final cut express 2.0 upgrade', 79.99]","['apple final cut studio 2', 1299.0]",0.019598389,0.9804016,2
11,apple software m9372z/a final cut express 2.0 upgrade,apple,1299.0,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title',)",['apple final cut studio 2 ( mac )'],['apple software m9372z/a final cut express 2.0 upgrade'],0.057534326,0.94246566,2
7,apple final cut studio 2 ( mac ),apple,1299.0,apple final cut studio 2,apple software,79.99,"('rtable_title',)",['apple software m9372z/a final cut express 2.0 upgrade'],['apple final cut studio 2'],0.019253938,0.98074603,2
5,software m9372z/a final cut express 2.0 upgrade,apple,79.99,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title', 'ltable_price')","['apple final cut studio 2 ( mac )', 1299.0]","['software m9372z/a final cut express 2.0 upgrade', 79.99]",0.09927966,0.9007203,2
4,software m9372z/a final cut express 2.0 upgrade,apple software,1299.0,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title', 'ltable_manufacturer')","['apple final cut studio 2 ( mac )', 'apple']","['software m9372z/a final cut express 2.0 upgrade', 'apple software']",0.24445881,0.7555412,2
3,software m9372z/a final cut express 2.0 upgrade,apple,1299.0,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title',)",['apple final cut studio 2 ( mac )'],['software m9372z/a final cut express 2.0 upgrade'],0.25247732,0.74752265,2
1,apple software m9372z/a final cut express,apple,79.99,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title', 'ltable_price')","['apple final cut studio 2 ( mac )', 1299.0]","['apple software m9372z/a final cut express', 79.99]",0.31765702,0.682343,2
8,apple final cut studio 2 ( mac ),apple,1299.0,apple final cut studio 2,apple,79.99,"('rtable_title', 'rtable_manufacturer')","['apple software m9372z/a final cut express 2.0 upgrade', 'apple software']","['apple final cut studio 2', 'apple']",0.0144326305,0.98556733,2
10,apple final cut studio 2 ( mac ),apple,1299.0,apple final cut studio 2,apple,1299.0,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['apple software m9372z/a final cut express 2.0 upgrade', 'apple software', 79.99]","['apple final cut studio 2', 'apple', 1299.0]",0.014269561,0.9857304,3
6,software m9372z/a final cut express 2.0 upgrade,apple software,79.99,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['apple final cut studio 2 ( mac )', 'apple', 1299.0]","['software m9372z/a final cut express 2.0 upgrade', 'apple software', 79.99]",0.061173014,0.938827,3
14,apple software m9372z/a final cut express 2.0 upgrade,software,79.99,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['apple final cut studio 2 ( mac )', 'apple', 1299.0]","['apple software m9372z/a final cut express 2.0 upgrade', 'software', 79.99]",0.018563462,0.98143655,3
16,final cut express 2.0 upgrade,apple software,79.99,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['apple final cut studio 2 ( mac )', 'apple', 1299.0]","['final cut express 2.0 upgrade', 'apple software', 79.99]",0.15952331,0.8404767,3
2,apple software m9372z/a final cut express,apple software,79.99,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['apple final cut studio 2 ( mac )', 'apple', 1299.0]","['apple software m9372z/a final cut express', 'apple software', 79.99]",0.047472622,0.9525274,3
20,apple final cut studio 2 ( mac ),apple,1299.0,final cut studio 2 ( mac ),apple,1299.0,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['apple software m9372z/a final cut express 2.0 upgrade', 'apple software', 79.99]","['final cut studio 2 ( mac )', 'apple', 1299.0]",0.0035562078,0.9964438,3
22,final cut express 2.0 upgrade,apple computer,99.99,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['apple final cut studio 2 ( mac )', 'apple', 1299.0]","['final cut express 2.0 upgrade', 'apple computer', 99.99]",0.26606426,0.7339357,3
