,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,11.90 %,Inception Series - Runnin ' With The Devil,Bier Kaffee Aqula,American Barleywine,8.50 %,Bainbridge Island Arrow Point Amber,Third Base Sports Bar & Brewery,California Common,0
1,9.80 %,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,9.30 %,Bainbridge Island Arrow Point Amber,Amazon Beer,Imperial IPA,1
2,11.90 %,Bushfire American Red,Nebraska Brewing Company,American Barleywine,7.80 %,Bainbridge Island Arrow Point Amber,18th Street Brewery,Imperial IPA,1
3,11.90 %,Inception Series - Runnin ' With The Devil,Bier Kaffee Aqula,American Barleywine,8.50 %,Bainbridge Island Arrow Point Amber,18th Street Brewery,Imperial IPA,0
4,11.90 %,Blue Bridge Amber Dry Hopped,Nebraska Brewing Company,American Amber / Red Ale,8.50 %,Legends of the Bay Giant_s Tomb,18th Street Brewery,Imperial IPA,0
5,11.90 %,Inception Series - Runnin ' With The Devil,Bier Kaffee Aqula,American Barleywine,8.50 %,Bainbridge Island Arrow Point Amber,Third Base Sports Bar & Brewery,Imperial IPA,0
6,11.90 %,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,8.50 %,Bainbridge Island Arrow Point Amber,18th Street Brewery,Imperial IPA,0
7,5.50 %,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,7.40 %,Bainbridge Island Arrow Point Amber,18th Street Brewery,Imperial IPA,1
8,11.90 %,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Amber / Red Ale,8.50 %,Bainbridge Island Arrow Point Amber,18th Street Brewery,Imperial IPA,0
9,11.90 %,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,6.90 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Imperial IPA,0
