,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 3570 las vegas blvd. s ',` las vegas ',70.0,` palace court ',404/351 -9533,continental,' 3200 las vegas blvd. s. ',` las vegas ',70.0,` chin \ 's ',702-733-8899,chinese,1
1,' 3570 las vegas blvd. s ',` las vegas ',70.0,toulouse,702/731 -7547,continental,' 3200 las vegas blvd. s. ',` las vegas ',70.0,nava,702-733-8899,chinese,1
2,' 3570 las vegas blvd. s ',` las vegas ',70.0,` palace court ',702/731 -7547,continental,' 3200 las vegas blvd. s. ',` las vegas ',70.0,` chin \ 's ',702-733-8899,steakhouses,1
3,' 3570 las vegas blvd. s ',` las vegas ',70.0,` palace court ',702/731 -7547,continental,' 3200 las vegas blvd. s. ',` las vegas ',70.0,` buccaneer bay club ',702-733-8899,chinese,1
4,' 3570 las vegas blvd. s ',` las vegas ',70.0,toulouse,702/731 -7547,continental,' 3200 las vegas blvd. s. ',` las vegas ',70.0,` chin \ 's ',702-733-8899,chinese,1
5,' 3570 las vegas blvd. s ',` las vegas ',70.0,` palace court ',702/731 -7547,continental,' 3200 las vegas blvd. s. ',` las vegas ',70.0,` chin \ 's ',702-733-8899,chinese,1
6,' 3570 las vegas blvd. s ',` las vegas ',70.0,` mandarin court ',702/731 -7547,continental,' 3200 las vegas blvd. s. ',` las vegas ',70.0,' 103 west ',702-733-8899,chinese,1
7,' 1510 e. flamingo rd. ',` las vegas ',70.0,` palace court ',702/731 -7547,continental,' 3200 las vegas blvd. s. ',` las vegas ',70.0,` chin \ 's ',702-733-8899,thai,1
8,' 3570 las vegas blvd. s ',` las vegas ',70.0,` palace court ',702/731 -7547,` steak houses ',' 3200 las vegas blvd. s. ',` las vegas ',70.0,` chin \ 's ',702-733-8899,chinese,1
9,' 3570 las vegas blvd. s ',` las vegas ',70.0,` palace court ',702/731 -7547,continental,' 3200 las vegas blvd. s. ',` las vegas ',70.0,` le chardonnay ( los angeles ) ',702-733-8899,chinese,1
