,label,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,` brighton coffee shop ',' 10250 santa monica blvd. ',` los angeles ',310-276-7732,` dive american ',128,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` w. hollywood ',310-550-8811,steakhouses,15,"('ltable_name', 'ltable_phone')","['dive !', '310/788 -']","[""` brighton coffee shop '"", '310-276-7732']",1,0,0.2431517,0.7568483,2
98,,` brighton coffee shop ',' 10250 santa monica blvd. ',` los angeles ',310-276-7732,` dive american ',128,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` w. hollywood ',310-550-8811,steakhouses,15,"('ltable_name', 'ltable_phone')","['dive !', '310/788 -']","[""` brighton coffee shop '"", '310-276-7732']",1,0,0.2431517,0.7568483,2
78,,` brighton coffee shop ',' 10250 santa monica blvd. ',` los angeles ',310-276-7732,` dive american ',128,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` w. hollywood ',310-550-8811,steakhouses,15,"('ltable_name', 'ltable_phone')","['dive !', '310/788 -']","[""` brighton coffee shop '"", '310-276-7732']",1,0,0.2431517,0.7568483,2
112,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 10250 santa monica blvd. ',` w. hollywood ',310/788 -,steakhouses,15,"('rtable_addr', 'rtable_phone')","[""' 9001 santa monica blvd. '"", '310-550-8811']","[""' 10250 santa monica blvd. '"", '310/788 -']",1,0,0.055067357,0.9449326,2
11,,` brighton coffee shop ',' 10250 santa monica blvd. ',` los angeles ',310-276-7732,` dive american ',128,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` w. hollywood ',310-550-8811,steakhouses,15,"('ltable_name', 'ltable_phone')","['dive !', '310/788 -']","[""` brighton coffee shop '"", '310-276-7732']",1,0,0.24315174,0.7568483,2
28,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 10250 santa monica,` w. hollywood ',310/788 -,steakhouses,15,"('rtable_addr', 'rtable_phone')","[""' 9001 santa monica blvd. '"", '310-550-8811']","[""' 10250 santa monica"", '310/788 -']",1,0,0.05259988,0.9474001,2
29,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,dive !,' 10250 santa monica,` w. hollywood ',310/788 -,steakhouses,15,"('rtable_name', 'rtable_addr', 'rtable_phone')","[""` palm the ( los angeles ) '"", ""' 9001 santa monica blvd. '"", '310-550-8811']","['dive !', ""' 10250 santa monica"", '310/788 -']",1,0,0.023051558,0.97694844,3
30,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,dive !,' 9001 santa monica blvd. ',` los angeles ',310/788 -,steakhouses,15,"('rtable_name', 'rtable_city', 'rtable_phone')","[""` palm the ( los angeles ) '"", ""` w. hollywood '"", '310-550-8811']","['dive !', ""` los angeles '"", '310/788 -']",1,0,0.15053992,0.8494601,3
31,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,dive !,' 9001 santa monica blvd. ',` w. hollywood ',310/788 -,steakhouses,128,"('rtable_name', 'rtable_phone', 'rtable_class')","[""` palm the ( los angeles ) '"", '310-550-8811', 15]","['dive !', '310/788 -', 128]",1,0,0.3020215,0.6979785,3
32,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 10250 santa monica,` los angeles ',310/788 -,steakhouses,15,"('rtable_addr', 'rtable_city', 'rtable_phone')","[""' 9001 santa monica blvd. '"", ""` w. hollywood '"", '310-550-8811']","[""' 10250 santa monica"", ""` los angeles '"", '310/788 -']",1,0,0.120231934,0.8797681,3
33,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 10250 santa monica,` w. hollywood ',310/788 -,` dive american ',15,"('rtable_addr', 'rtable_phone', 'rtable_res_type')","[""' 9001 santa monica blvd. '"", '310-550-8811', 'steakhouses']","[""' 10250 santa monica"", '310/788 -', ""` dive american '""]",1,0,0.10794196,0.8920581,3
34,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 10250 santa monica,` w. hollywood ',310/788 -,steakhouses,128,"('rtable_addr', 'rtable_phone', 'rtable_class')","[""' 9001 santa monica blvd. '"", '310-550-8811', 15]","[""' 10250 santa monica"", '310/788 -', 128]",1,0,0.055732403,0.9442676,3
35,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` los angeles ',310/788 -,steakhouses,128,"('rtable_city', 'rtable_phone', 'rtable_class')","[""` w. hollywood '"", '310-550-8811', 15]","[""` los angeles '"", '310/788 -', 128]",1,0,0.305033,0.694967,3
36,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` w. hollywood ',310/788 -,` dive american ',128,"('rtable_phone', 'rtable_res_type', 'rtable_class')","['310-550-8811', 'steakhouses', 15]","['310/788 -', ""` dive american '"", 128]",1,0,0.2747535,0.7252464,3
115,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 10250 santa monica blvd. ',`,310/788 -,steakhouses,15,"('rtable_addr', 'rtable_city', 'rtable_phone')","[""' 9001 santa monica blvd. '"", ""` w. hollywood '"", '310-550-8811']","[""' 10250 santa monica blvd. '"", '`', '310/788 -']",1,0,0.07731739,0.92268264,3
116,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 10250 santa monica blvd. ',` w. hollywood ',310/788 -,` dive american ',15,"('rtable_addr', 'rtable_phone', 'rtable_res_type')","[""' 9001 santa monica blvd. '"", '310-550-8811', 'steakhouses']","[""' 10250 santa monica blvd. '"", '310/788 -', ""` dive american '""]",1,0,0.08474748,0.9152525,3
114,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,dive !,' 9001 santa monica blvd. ',` w. hollywood ',310/788 -,steakhouses,128,"('rtable_name', 'rtable_phone', 'rtable_class')","[""` palm the ( los angeles ) '"", '310-550-8811', 15]","['dive !', '310/788 -', 128]",1,0,0.3020215,0.6979785,3
113,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,dive !,' 10250 santa monica blvd. ',` w. hollywood ',310/788 -,steakhouses,15,"('rtable_name', 'rtable_addr', 'rtable_phone')","[""` palm the ( los angeles ) '"", ""' 9001 santa monica blvd. '"", '310-550-8811']","['dive !', ""' 10250 santa monica blvd. '"", '310/788 -']",1,0,0.017009204,0.98299086,3
53,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,dive !,' 9001 santa monica blvd. ',` los angeles ',310/788 -,steakhouses,15,"('rtable_name', 'rtable_city', 'rtable_phone')","[""` palm the ( los angeles ) '"", ""` w. hollywood '"", '310-550-8811']","['dive !', ""` los angeles '"", '310/788 -']",1,0,0.15053989,0.8494601,3
54,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,dive !,' 9001 santa monica blvd. ',` w. hollywood ',310/788 -,steakhouses,128,"('rtable_name', 'rtable_phone', 'rtable_class')","[""` palm the ( los angeles ) '"", '310-550-8811', 15]","['dive !', '310/788 -', 128]",1,0,0.3020215,0.6979785,3
55,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',',` w. hollywood ',310/788 -,steakhouses,128,"('rtable_addr', 'rtable_phone', 'rtable_class')","[""' 9001 santa monica blvd. '"", '310-550-8811', 15]","[""'"", '310/788 -', 128]",1,0,0.2622911,0.73770887,3
56,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` los angeles ',310/788 -,steakhouses,128,"('rtable_city', 'rtable_phone', 'rtable_class')","[""` w. hollywood '"", '310-550-8811', 15]","[""` los angeles '"", '310/788 -', 128]",1,0,0.305033,0.694967,3
57,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` w. hollywood ',310/788 -,` dive american ',128,"('rtable_phone', 'rtable_res_type', 'rtable_class')","['310-550-8811', 'steakhouses', 15]","['310/788 -', ""` dive american '"", 128]",1,0,0.2747535,0.7252464,3
117,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 10250 santa monica blvd. ',` w. hollywood ',310/788 -,steakhouses,128,"('rtable_addr', 'rtable_phone', 'rtable_class')","[""' 9001 santa monica blvd. '"", '310-550-8811', 15]","[""' 10250 santa monica blvd. '"", '310/788 -', 128]",1,0,0.032678094,0.96732193,3
119,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` w. hollywood ',310/788 -,` dive american ',128,"('rtable_phone', 'rtable_res_type', 'rtable_class')","['310-550-8811', 'steakhouses', 15]","['310/788 -', ""` dive american '"", 128]",1,0,0.27475354,0.7252464,3
118,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',`,310/788 -,` dive american ',15,"('rtable_city', 'rtable_phone', 'rtable_res_type')","[""` w. hollywood '"", '310-550-8811', 'steakhouses']","['`', '310/788 -', ""` dive american '""]",1,0,0.49018398,0.509816,3
120,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,dive !,' 10250 santa monica blvd. ',`,310/788 -,steakhouses,15,"('rtable_name', 'rtable_addr', 'rtable_city', 'rtable_phone')","[""` palm the ( los angeles ) '"", ""' 9001 santa monica blvd. '"", ""` w. hollywood '"", '310-550-8811']","['dive !', ""' 10250 santa monica blvd. '"", '`', '310/788 -']",1,0,0.020728007,0.97927195,4
59,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,dive !,',` w. hollywood ',310/788 -,` dive american ',15,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_res_type')","[""` palm the ( los angeles ) '"", ""' 9001 santa monica blvd. '"", '310-550-8811', 'steakhouses']","['dive !', ""'"", '310/788 -', ""` dive american '""]",1,0,0.14632814,0.85367185,4
121,,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,dive !,' 10250 santa monica blvd. ',` w. hollywood ',310/788 -,` dive american ',15,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_res_type')","[""` palm the ( los angeles ) '"", ""' 9001 santa monica blvd. '"", '310-550-8811', 'steakhouses']","['dive !', ""' 10250 santa monica blvd. '"", '310/788 -', ""` dive american '""]",1,0,0.010541373,0.98945856,4
