,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,10.00 %,Bushfire American Red,Ballast Point Brewing Company,American Amber / Red Ale,-,Jazz Beer Tarraco Amber,23rd Street Brewery,Specialty Grain,0
1,10.00 %,Bushfire American Red,Ballast Point Brewing Company,American Amber / Red Ale,-,Baranof Island Redoubt Red Ale,23rd Street Brewery,Specialty Grain,0
2,10.00 %,Ambleside Amber Ale,Ballast Point Brewing Company,American Amber / Red Ale,-,Bainbridge Island Arrow Point Amber,23rd Street Brewery,Specialty Grain,0
3,10.00 %,Honey Basil Amber,Ballast Point Brewing Company,American Amber / Red Ale,8.20 %,Bainbridge Island Arrow Point Amber,23rd Street Brewery,Specialty Grain,0
4,10.00 %,Bushfire American Red,Ballast Point Brewing Company,American Amber / Red Ale,-,Jazz Beer Tarraco Amber,23rd Street Brewery,Imperial IPA,1
5,5.80 %,Bushfire American Red,Smuttynose Brewing Company,American Amber / Red Ale,-,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,0
6,10.00 %,Ambleside Amber Ale,Ballast Point Brewing Company,American Amber / Red Ale,-,Bainbridge Island Arrow Point Amber,Cigar City Brewing,Specialty Grain,0
7,10.00 %,Bushfire American Red,Ballast Point Brewing Company,American Amber / Red Ale,-,Jazz Beer Tarraco Amber,Alley Kat Brewing Company,Imperial IPA,1
8,10.00 %,Bushfire American Red,Ballast Point Brewing Company,American Amber / Red Ale,-,Baranof Island Redoubt Red Ale,AleSmith Brewing Company,Specialty Grain,0
9,10.00 %,Big Red Balls,Ballast Point Brewing Company,American Amber / Red Ale,4.90 %,Winthrop Double Dry Hopped Amber,Sierra Andina,Specialty Grain,0
