,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Levrette Bio,23rd Street Brewery,Specialty Grain,-,"('rtable_Beer_Name',)",['23rd Street Pumpkin Ale Bourbon Barrel Aged'],['Levrette Bio'],0.3674837350845337,0.6325162649154663,2
407,Pecan Piewhole,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_Style')","['Tongue Buckler ( Bourbon Barrel Aged )', 'American Amber / Red Ale']","['Pecan Piewhole', 'American Amber / Red Ale']",0.4186320900917053,0.5813679099082947,2
406,Pecan Piewhole,Right Brain Brewery,American Amber / Red Ale,10.00 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Tongue Buckler ( Bourbon Barrel Aged )', 'Ballast Point Brewing Company']","['Pecan Piewhole', 'Right Brain Brewery']",0.3981037735939026,0.6018962264060974,2
405,Pecan Piewhole,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name',)",['Tongue Buckler ( Bourbon Barrel Aged )'],['Pecan Piewhole'],0.4186320900917053,0.5813679099082947,2
400,Devil 's Garden,Ballast Point Brewing Company,American Amber / Red Ale,3.90 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_ABV')","['Tongue Buckler ( Bourbon Barrel Aged )', '10.00 %']","[""Devil 's Garden"", '3.90 %']",0.4911125898361206,0.5088874101638794,2
399,Devil 's Garden,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_Style')","['Tongue Buckler ( Bourbon Barrel Aged )', 'American Amber / Red Ale']","[""Devil 's Garden"", 'American Amber / Red Ale']",0.49795234203338623,0.5020476579666138,2
398,Devil 's Garden,Frodsham Brewery,American Amber / Red Ale,10.00 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Tongue Buckler ( Bourbon Barrel Aged )', 'Ballast Point Brewing Company']","[""Devil 's Garden"", 'Frodsham Brewery']",0.46422410011291504,0.535775899887085,2
397,Devil 's Garden,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name',)",['Tongue Buckler ( Bourbon Barrel Aged )'],"[""Devil 's Garden""]",0.49795234203338623,0.5020476579666138,2
393,Northern Hawk Owl,Ballast Point Brewing Company,American Amber / Red Ale,5.80 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_ABV')","['Tongue Buckler ( Bourbon Barrel Aged )', '10.00 %']","['Northern Hawk Owl', '5.80 %']",0.4901477098464966,0.5098522901535034,2
388,The Irisher,Ballast Point Brewing Company,American Amber / Red Ale,4.60 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_ABV')","['Tongue Buckler ( Bourbon Barrel Aged )', '10.00 %']","['The Irisher', '4.60 %']",0.39117443561553955,0.6088255643844604,2
387,The Irisher,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_Style')","['Tongue Buckler ( Bourbon Barrel Aged )', 'American Amber / Red Ale']","['The Irisher', 'American Amber / Red Ale']",0.44432532787323,0.55567467212677,2
386,The Irisher,Noble Ale Works,American Amber / Red Ale,10.00 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Tongue Buckler ( Bourbon Barrel Aged )', 'Ballast Point Brewing Company']","['The Irisher', 'Noble Ale Works']",0.41150879859924316,0.5884912014007568,2
408,Pecan Piewhole,Ballast Point Brewing Company,American Amber / Red Ale,6.30 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_ABV')","['Tongue Buckler ( Bourbon Barrel Aged )', '10.00 %']","['Pecan Piewhole', '6.30 %']",0.4097024202346802,0.5902975797653198,2
