,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,"deeds towards a distributed and active real-time database system joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson sigmod record 1996",luca cardelli,nan,nan,coss : the common object services specifications bruce e. martin international conference on management of data,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",very large data bases,2001.0,0
1,sql/xml is making good progress sigmod record,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",nan,nan,navigating large-scale semi-structured data in business portals,"thomas seidl , hans-peter kriegel",international conference on management of data,1998.0,0
2,editorial vldb j.,"guozhu dong , jian pei , jiawei han , ke wang",nan,1996.0,coss : the common object services specifications bruce e. martin international conference on management of data,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",very large data bases,2001.0,0
3,coss : the common object services specifications sigmod conference 1994,özgür ulusoy,sigmod record,nan,book reviews acm sigmod record 2003,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",very large data bases,2001.0,1
4,editorial vldb j.,"guozhu dong , jian pei , jiawei han , ke wang",nan,nan,coss : the common object services specifications bruce e. martin international conference on management of data,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",very large data bases,2001.0,0
5,navigating large-scale semi-structured data in business portals vldb 2001,özgür ulusoy,nan,1998.0,"sql/xml is making good progress andrew eisenberg , jim melton acm sigmod record","man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",the vldb journal -- the international journal on very large data bases,1997.0,0
6,"secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri","michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",acm trans . database syst .,1996.0,navigating large-scale semi-structured data in business portals,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,2001.0,0
7,"secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri","michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",acm trans . database syst .,nan,navigating large-scale semi-structured data in business portals,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,2001.0,0
8,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",özgür ulusoy,nan,1996.0,the montage extensible datablade architecture michael ubell international conference on management of data 1994,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",very large data bases,1994.0,0
9,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",joseph fong,nan,1998.0,"on supporting containment queries in relational database management systems chun zhang , jeffrey naughton , david dewitt , qiong luo , guy lohman 2001","man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",acm sigmod record,2001.0,0
