,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,adobe flash pro cs3 upgrade [ mac ],adobe,89.99,adobe illustrator cs3 ( mac ),sibelius-software-ltd .,599.0,1
1,adobe flash pro cs3 upgrade [ mac ],punch ! software,199.0,adobe illustrator cs3 ( mac ),apple software,599.0,1
2,adobe flash pro cs3 upgrade [ mac ],phantom efx,199.0,instant immersion 33 languages,nan,599.0,1
3,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,adobe illustrator cs3 ( mac ),nan,599.0,1
4,instant immersion 33 languages,adobe,199.0,adobe illustrator cs3 ( mac ),riverdeep-learning-company,599.0,1
5,adobe flash pro cs3 upgrade [ mac ],adobe,999.99,adobe illustrator cs3 ( mac ),nan,179.95,1
6,steinberg nuendo 3 digital audio software,adobe,29.99,adobe illustrator cs3 ( mac ),nan,599.0,1
7,punch ! master landscape & home design,adobe,199.0,microsoft money 2007 home and business ( pc ),nan,599.0,1
8,adobe flash pro cs3 upgrade [ mac ],adobe,29.99,adobe cs3 design standard academic,nan,599.0,1
9,adobe flash pro cs3 upgrade [ mac ],adobe,1199.0,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,nan,599.0,1
