,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Broadhead Bourbon Barrel Aged Red,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Beer_Name',)",['Main Street Amber Ale'],['Broadhead Bourbon Barrel Aged Red'],0.3939006,0.60609937,2
1,Broadhead Bourbon Barrel Aged Red,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Beer_Name', 'ltable_Style')","['Main Street Amber Ale', 'American Amber / Red Ale']","['Broadhead Bourbon Barrel Aged Red', 'American Amber / Red Ale']",0.3939006,0.60609937,2
2,Broadhead Bourbon Barrel Aged Red,Fifty West Brewing Co,American Amber / Red Ale,8.50 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Beer_Name', 'ltable_ABV')","['Main Street Amber Ale', '4.60 %']","['Broadhead Bourbon Barrel Aged Red', '8.50 %']",0.23714034,0.7628597,2
8,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Iron Hill Big Red Wibby,Thorn Street Brewery,American Strong Ale,6.20 %,"('rtable_Beer_Name', 'rtable_Style')","['Thorn Street Smugglers Cove Agave Amber Ale', 'Amber Ale']","['Iron Hill Big Red Wibby', 'American Strong Ale']",0.3894403,0.6105597,2
13,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,The Hop Garden Sunset Imperial Amber,Thorn Street Brewery,American Strong Ale,6.20 %,"('rtable_Beer_Name', 'rtable_Style')","['Thorn Street Smugglers Cove Agave Amber Ale', 'Amber Ale']","['The Hop Garden Sunset Imperial Amber', 'American Strong Ale']",0.2943584,0.70564157,2
3,Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,American Amber / Red Ale,8.50 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Main Street Amber Ale', 'Fifty West Brewing Co', '4.60 %']","['Broadhead Bourbon Barrel Aged Red', 'Bainbridge Island Brewing Company', '8.50 %']",0.3734682,0.6265318,3
4,Broadhead Bourbon Barrel Aged Red,Fifty West Brewing Co,American Amber / Red Ale,8.50 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Beer_Name', 'ltable_Style', 'ltable_ABV')","['Main Street Amber Ale', 'American Amber / Red Ale', '4.60 %']","['Broadhead Bourbon Barrel Aged Red', 'American Amber / Red Ale', '8.50 %']",0.23714034,0.7628597,3
6,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,13 Virtues Rip City Red,13 Virtues Brewing Company,Amber Ale,5.60 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Thorn Street Smugglers Cove Agave Amber Ale', 'Thorn Street Brewery', '6.20 %']","['13 Virtues Rip City Red', '13 Virtues Brewing Company', '5.60 %']",0.40876794,0.591232,3
9,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Iron Hill Big Red Wibby,Iron Hill Lancaster,American Strong Ale,6.20 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Thorn Street Smugglers Cove Agave Amber Ale', 'Thorn Street Brewery', 'Amber Ale']","['Iron Hill Big Red Wibby', 'Iron Hill Lancaster', 'American Strong Ale']",0.47597373,0.52402633,3
11,Ginger Slap,Palmetto Brewing Company,American Amber / Red Ale,6.00 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Main Street Amber Ale', 'Fifty West Brewing Co', '4.60 %']","['Ginger Slap', 'Palmetto Brewing Company', '6.00 %']",0.43262324,0.56737673,3
