,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,7.50 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,4.60 %,1
1,Alexander Keith 's Red Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,5 %,0
2,Amber Waves Ale,Fifty West Brewing Co,American Barleywine,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,1
3,Double Dragon Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,0
4,Rock Bottom Red Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.20 %,1
5,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,Rock Bottom La Jolla Ragtop Red Ale,Thorn Street Brewery,Specialty Grain,6.20 %,1
6,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,11.00 %,Thorn Street Smugglers Cove Agave Amber Ale,Iron Horse Brewery,Amber Ale,6.20 %,1
7,Main Street Amber Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Heavy Seas Brewing Company,Amber Ale,6.20 %,1
8,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,9.00 %,Jazz Beer Tarraco Amber,Thorn Street Brewery,Amber Ale,6.20 %,1
9,Main Street Amber Ale,Due South Brewing Co. .,American Amber / Red Ale,4.60 %,Thorn Street Smugglers Cove Agave Amber Ale,Hollywood Beach Brewing Company,Amber Ale,6.20 %,1
