,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"June 13 , 2014","('rtable_Released',)","['May 18 , 2015']","['June 13 , 2014']",0.4872241,0.51277584,2
436,Halcyon,Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('ltable_Song_Name',)",['Illusion ( feat . Echosmith )'],['Halcyon'],0.3535433,0.64645666,2
437,Halcyon,Ellie Goulding,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('ltable_Song_Name', 'ltable_Artist_Name')","['Illusion ( feat . Echosmith )', 'Zedd']","['Halcyon', 'Ellie Goulding']",0.25999206,0.7400079,2
438,Halcyon,Zedd,True Colors,"Pop , Music , Dance , Rock",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('ltable_Song_Name', 'ltable_Genre')","['Illusion ( feat . Echosmith )', 'Dance , Music , Electronic']","['Halcyon', 'Pop , Music , Dance , Rock']",0.41981983,0.58018017,2
439,Halcyon,Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('ltable_Song_Name', 'ltable_Price')","['Illusion ( feat . Echosmith )', '$ 1.29']","['Halcyon', '$ 1.29']",0.3535433,0.64645666,2
440,Halcyon,Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,‰ ãÑ 2013 Polydor Ltd. ( UK ),6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('ltable_Song_Name', 'ltable_CopyRight')","['Illusion ( feat . Echosmith )', '2015 Interscope Records']","['Halcyon', '‰ ãÑ 2013 Polydor Ltd. ( UK )']",0.36734104,0.63265896,2
441,Halcyon,Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,3:24,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('ltable_Song_Name', 'ltable_Time')","['Illusion ( feat . Echosmith )', '6:30']","['Halcyon', '3:24']",0.36173198,0.638268,2
442,Halcyon,Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,27-Aug-13,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('ltable_Song_Name', 'ltable_Released')","['Illusion ( feat . Echosmith )', '18-May-15']","['Halcyon', '27-Aug-13']",0.3535433,0.64645666,2
355,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"August 8 , 2013","('rtable_Price', 'rtable_Released')","['$ 1.29', 'May 18 , 2015']","['$ 1.29', 'August 8 , 2013']",0.49685282,0.5031472,2
103,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,3:49,"June 24 , 2014","('rtable_Time', 'rtable_Released')","['6:25', 'May 18 , 2015']","['3:49', 'June 24 , 2014']",0.48653987,0.51346016,2
