,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,da-lite da-plex standard rear projection screen - 60 x 80 video format electronics - general da-lite 27544 2931.99,nan,balt,zt-40604-10l,nan,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format 8729.48,projection screens,da-lite,23056,nan,0
1,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,nan,nan,nan,nan,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format 8729.48,projection screens,da-lite,23056,nan,0
2,uniden d1680 dect 6.0 with caller id and call waiting 33.84,nan,nan,nan,nan,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format 8729.48,external hard drives,da-lite,23056,nan,0
3,da-lite da-plex standard rear projection screen - 60 x 80 video format electronics - general da-lite 27544 2931.99,nan,nan,nan,nan,oki 52117101 - 52117101 toner 33000 page-yield black,projection screens,paper mate,23056,nan,0
4,da-lite da-plex standard rear projection screen - 60 x 80 video format electronics - general da-lite 27544 2931.99,nan,nan,nan,248.27,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple blank media pny 12.71,projection screens,da-lite,23056,nan,0
5,da-lite da-plex standard rear projection screen - 60 x 80 video format electronics - general da-lite 27544 2931.99,nan,nan,nan,nan,iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49,projection screens,da-lite,23056,nan,0
6,accell ultraav displayport multi-monitor adapter 198.35,hard drives,nan,nan,nan,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format 8729.48,projection screens,da-lite,23056,nan,0
7,paper mate mechanical pencil starter set stationery & office machinery 1739312 4.87,nan,nan,nan,nan,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format 8729.48,projection screens,da-lite,23056,nan,0
8,uniden d1680 dect 6.0 with caller id and call waiting 33.84,memory,nan,nan,nan,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format 8729.48,projection screens,da-lite,23056,nan,0
9,pioneer 6.5 3-way speakers 300w car stereos pioneer,nan,nan,nan,nan,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format 8729.48,projection screens,elite,23056,nan,0
