,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,outcome
0,olympus premium slim leather case in black 202087,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",nan,olympus neoprene soft camera case 202066,samsung hl56a650 56 ' widescreen 1080p dlp hdtv w / built in ntsc/atsc tuner piano black,11.89,0
1,olympus premium slim leather case in black 202087,olympus 202087-410 premium slim leather case in black 202087 slim classic leather saddle bag design magnetic closure clasp leather wrist strap interior pocket compatible with fe200 and fe230 black finish,nan,olympus neoprene soft camera case 202066,2 x phone line ( s ) headset white,104.95,1
2,olympus premium slim leather case in black 202087,olympus 202087-410 premium slim leather case in black 202087 slim classic leather saddle bag design magnetic closure clasp leather wrist strap interior pocket compatible with fe200 and fe230 black finish,nan,olympus neoprene soft camera case 202066,top loading neoprene black,104.95,1
3,sony red cyber-shot digital camera dscw170r,sony lcs-twa/b black soft leather carrying case lcstwab genuine leather construction compatible with cyber-shot w and t series digital cameras integrated belt loop and magnetic closure black finish,nan,olympus neoprene soft camera case 202066,top loading neoprene black,11.89,1
4,lg 5.6 cu . ft. black freestanding electric range lre30453bk,olympus 202087-410 premium slim leather case in black 202087 slim classic leather saddle bag design magnetic closure clasp leather wrist strap interior pocket compatible with fe200 and fe230 black finish,nan,canon canon cb-2lw battery charger 0763b001,top loading neoprene black,11.89,1
5,olympus premium slim leather case in black 202087,olympus 202087-410 premium slim leather case in black 202087 slim classic leather saddle bag design magnetic closure clasp leather wrist strap interior pocket compatible with fe200 and fe230 black finish,nan,olympus neoprene soft camera case 202066,top loading neoprene black,278.95,1
6,olympus premium slim leather case in black 202087,olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish,nan,olympus neoprene soft camera case 202066,top loading neoprene black,89.45,1
7,samsung 46 ' series 5 lcd black flat panel hdtv ln46a550,olympus 202087-410 premium slim leather case in black 202087 slim classic leather saddle bag design magnetic closure clasp leather wrist strap interior pocket compatible with fe200 and fe230 black finish,nan,olympus neoprene soft camera case 202066,"1 x 10/100base-tx network , 1 x usb wi-fi ieee 802.11 b/g",11.89,1
8,canon 2gb sd secure digital card 3505b001,olympus 202087-410 premium slim leather case in black 202087 slim classic leather saddle bag design magnetic closure clasp leather wrist strap interior pocket compatible with fe200 and fe230 black finish,nan,sony picture station digital photo printer dppfp95,top loading neoprene black,11.89,1
9,olympus premium slim leather case in black 202087,olympus 202087-410 premium slim leather case in black 202087 slim classic leather saddle bag design magnetic closure clasp leather wrist strap interior pocket compatible with fe200 and fe230 black finish,nan,canon dc310 digital camcorder 2694b001,top loading neoprene black,144.05,1
