,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,4.00 %,Sanibel Red Island Ale,Sky High Brewing,American Amber / Red Ale,6 %,Bainbridge Island Arrow Point Amber,Pizza Port &#40; Ocean Beach &#41;,Premium Bitter/ESB,0
1,6.90 %,Lower De Boom Barleywine,Red Rock Brewing Company,American Amber / Red Ale,11.25 %,Bainbridge Island Arrow Point Amber,Midnight Sun Brewing Company,Irish Ale,1
2,5.80 %,Arrow Point Amber,Revival Brewing Co. .,American Amber / Red Ale,5.80 %,Council Rock Sleeping Lion Red Ale,Council Rock Brewery,Irish Ale,1
3,6.40 %,Honey Basil Amber,Silver Peak Restaurant & Brewery,American Amber / Red Ale,6 %,Jazz Beer Tarraco Amber,AleSmith Brewing Company,Irish Ale,0
4,4.00 %,Bushfire American Red,Red Rock Brewing Company,American Amber / Red Ale,6 %,Rude Hippo Honey Basil Amber,Colorado Mountain Brewery,Irish Ale,1
5,11.50 %,Rocket City Red,Fat Bottom Brewing,American Barleywine,6 %,Winthrop Double Dry Hopped Amber,Heist Brewery,Irish Ale,0
6,4.50 %,Arrow Point Amber,Red Rock Brewing Company,American Amber / Red Ale,7.50 %,Council Rock Sleeping Lion Red Ale,Riverbend Brewing & Sports Pub,Irish Ale,0
7,6.90 %,Lower De Boom Barleywine,Red Rock Brewing Company,American Amber / Red Ale,11.25 %,Bainbridge Island Arrow Point Amber,Midnight Sun Brewing Company,India Pale Ale &#40; IPA &#41;,1
8,4.00 %,Lower De Boom Barleywine,Lavery Brewing Company,American Amber / Red Ale,-,Bainbridge Island Arrow Point Amber,Council Rock Brewery,Altbier,1
9,4.00 %,Bushfire American Red,Red Rock Brewing Company,American Amber / Red Ale,11.20 %,Rude Hippo Honey Basil Amber,Colorado Mountain Brewery,Irish Ale,0
