,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,microsoft office & windows training,topics entertainment,29.99,microsoft ( r ) windows ( r ) xp professional edition with sp2,riverdeep-learning-company,399.99,1
1,microsoft office & windows training,topics entertainment,59.99,microsoft windows vista ultimate retail no open box returns,global-software-publishing,399.99,1
2,instant immersion german audio,hewlett-packard - ( consumables ),29.99,microsoft windows vista ultimate retail no open box returns,nan,399.99,1
3,microsoft office & windows training,topics entertainment,1199.0,microsoft windows vista ultimate retail no open box returns,nan,1659.99,1
4,punch 5 in 1 home design,microsoft licenses,29.99,microsoft windows vista ultimate retail no open box returns,nan,399.99,1
5,quicken 2007 basic,microsoft,29.99,microsoft windows vista ultimate retail no open box returns,nan,399.99,1
6,quickbooks point-of-sale basic 6.0,topics entertainment,29.99,microsoft windows vista ultimate retail no open box returns,riverdeep-learning-company,399.99,1
7,halo ( mac ),me-too-software,29.99,microsoft windows vista ultimate retail no open box returns,nan,399.99,1
8,quickbooks point-of-sale basic 6.0,topics entertainment,29.99,microsoft windows vista ultimate retail no open box returns,nan,399.99,1
9,microsoft office & windows training,topics entertainment,29.99,microsoft windows vista ultimate retail no open box returns,nan,385.99,1
