,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,outcome
0,samsung 22 ' black flat panel series 6 lcd hdtv ln22a650,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,1889.98,0
1,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t,sony bravia theater black micro system davis50b 5.1-channel surround sound golf ball-sized speakers compact design s-air digital wireless capability hdmi connectivity bravia sync digital cinema sound ( dcs ) technology s-master digital amplifier portable audio enhancer black finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,397.77,0
2,canon pixma multifunction printer mx310,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,nan,sony lcs-csh soft camera case lcscsh,nan,1098.72,0
3,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,397.77,0
4,sony silver cyber-shot digital camera dscw150,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,479.0,0
5,olympus black 10 megapixels digital camera sp565uz,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,1699.98,0
6,olympus black 10 megapixels digital camera sp565uz,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,samsung hl56a650 56 ' widescreen 1080p dlp hdtv w / built in ntsc/atsc tuner piano black,1699.98,0
7,belkin neoprene sleeve for macbook air f8n065blk,"audiovox commander mt xm satellite radio receiver xmrvrfm002 , dual line display tuneselect feature universal connector scan and jump features full function remote black finish",nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,2294.9,0
8,belkin neoprene sleeve for macbook air f8n065blk,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,2294.9,0
9,omnimount wall speaker mount 20wlbk,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,39.95,sony handycam dcr-sr85 digital camcorder dcrsr85,"1 x phone line ( s ) black , metallic",2294.9,0
