,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,5.60 %,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.60 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,1
1,5.40 %,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.60 %,Bainbridge Island Arrow Point Amber,Capitol City Brewing Company,Amber Ale,1
2,5.60 %,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.60 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,California Common,1
3,5.40 %,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.60 %,Legends of the Bay Giant_s Tomb,Capitol City Brewing Company,California Common,0
4,6.90 %,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.60 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,0
5,5.40 %,Legends Of The Bay Giant 's Tomb,Capitol City Brewing,American Amber / Red Ale,5.60 %,Riverbend Barrel Aged Right Said Red,Capitol City Brewing Company,Amber Ale,0
6,5.40 %,Amber Waves Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,5.60 %,Bainbridge Island Arrow Point Amber,Capitol City Brewing Company,Amber Ale,1
7,5.40 %,Lower De Boom Barleywine,Capitol City Brewing,American Amber / Red Ale,5.60 %,Hillcrest Big Red Balls,Capitol City Brewing Company,Amber Ale,1
8,5.40 %,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.60 %,Deschutes Green Lakes Non-Organic Ale,Capitol City Brewing Company,Fruit Beer,0
9,5.60 %,Amber Waves Ale,Capitol City Brewing,American Barleywine,5.60 %,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,1
