,label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
38,,Old Kaya Dog,Ballast Point Brewing Company,American Barleywine,10.30 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,Barley Wine,10.30 %,"('ltable_Beer_Name', 'ltable_ABV')","['Three Sheets Barleywine ( Syrah Barrel Aged )', '9.00 %']","['Old Kaya Dog', '10.30 %']",1,0,0.35145423,0.6485457,2
106,,Three Sheets Barleywine ( Syrah Barrel Aged ),Ballast Point Brewing Company,American Barleywine,9.00 %,Three Sheets Barleywine ( Syrah Barrel,Ballast Point Brewing Company,Barley Wine,10.30 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Tighthead Barrel Aged Old Kaya Dog Barleywine', 'Tighthead Brewing Company']","['Three Sheets Barleywine ( Syrah Barrel', 'Ballast Point Brewing Company']",1,0,0.49727625,0.5027238,2
36,,Old Kaya Dog,Tighthead Brewing Company,American Barleywine,9.00 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,Barley Wine,10.30 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Three Sheets Barleywine ( Syrah Barrel Aged )', 'Ballast Point Brewing Company']","['Old Kaya Dog', 'Tighthead Brewing Company']",1,0,0.27664104,0.723359,2
37,,Old Kaya Dog,Ballast Point Brewing Company,American Barleywine,9.00 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,Barley Wine,10.30 %,"('ltable_Beer_Name', 'ltable_Style')","['Three Sheets Barleywine ( Syrah Barrel Aged )', 'American Barleywine']","['Old Kaya Dog', 'American Barleywine']",1,0,0.42162234,0.57837766,2
80,,Antares Barleywine,Ballast Point Brewing Company,American Barleywine,9.00 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,Barley Wine,10.30 %,"('ltable_Beer_Name', 'ltable_Style')","['Three Sheets Barleywine ( Syrah Barrel Aged )', 'American Barleywine']","['Antares Barleywine', 'American Barleywine']",1,0,0.40482593,0.5951741,2
104,,Three Sheets Barleywine ( Syrah Barrel Aged ),Ballast Point Brewing Company,American Barleywine,9.00 %,Three Sheets Barleywine ( Syrah,Ballast Point Brewing Company,Barley Wine,10.30 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Tighthead Barrel Aged Old Kaya Dog Barleywine', 'Tighthead Brewing Company']","['Three Sheets Barleywine ( Syrah', 'Ballast Point Brewing Company']",1,0,0.35467258,0.6453274,2
101,,Three Sheets Barleywine ( Syrah Barrel Aged ),Ballast Point Brewing Company,American Barleywine,9.00 %,Three Sheets Barleywine,Ballast Point Brewing Company,Barley Wine,10.30 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Tighthead Barrel Aged Old Kaya Dog Barleywine', 'Tighthead Brewing Company']","['Three Sheets Barleywine', 'Ballast Point Brewing Company']",1,0,0.44228402,0.55771595,2
43,,Grateful Dog,Napa Smith Brewery,American Barleywine,9.00 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,Barley Wine,10.30 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Three Sheets Barleywine ( Syrah Barrel Aged )', 'Ballast Point Brewing Company']","['Grateful Dog', 'Napa Smith Brewery']",1,0,0.43540004,0.5646,2
44,,Grateful Dog,Ballast Point Brewing Company,American Barleywine,9.00 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,Barley Wine,10.30 %,"('ltable_Beer_Name', 'ltable_Style')","['Three Sheets Barleywine ( Syrah Barrel Aged )', 'American Barleywine']","['Grateful Dog', 'American Barleywine']",1,0,0.49276513,0.5072349,2
45,,Grateful Dog,Ballast Point Brewing Company,American Barleywine,10.00 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,Barley Wine,10.30 %,"('ltable_Beer_Name', 'ltable_ABV')","['Three Sheets Barleywine ( Syrah Barrel Aged )', '9.00 %']","['Grateful Dog', '10.00 %']",1,0,0.48945415,0.51054585,2
