,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,4.50 %,Twisted Stick Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,0
1,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,0
2,4.50 %,Real McCoy Amber Ale,Willoughby Brewing,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Irish Ale,0
3,4.50 %,Legends Of The Bay Giant 's Tomb,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,1
4,4.50 %,Lower De Boom Barleywine,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Bainbridge Island Arrow Point Amber,Mammoth Brewing Company,Altbier,1
5,4.50 %,Honey Basil Amber,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Fruit Beer,1
6,4.50 %,Ambleside Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,0
7,4.50 %,Arrow Point Amber,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,1
8,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Thomas Hooker Old Marley Barleywine,Mammoth Brewing Company,Altbier,1
9,4.50 %,Real McCoy Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,0
