,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,shredders,,,,"('rtable_category',)",[nan],['shredders'],0.1251669,0.87483305,2
76,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,,,,,"('rtable_brand',)",[nan],[nan],0.07584045,0.9241595,2
75,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,,,,,"('rtable_category',)",[nan],[nan],0.07584045,0.9241595,2
120,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,,,,,"('rtable_category',)",[nan],[nan],0.07584045,0.9241595,2
121,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,,hp,,,"('rtable_brand',)",[nan],['hp'],0.034546968,0.965453,2
122,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,,,,,"('rtable_modelno',)",[nan],[nan],0.07584045,0.9241595,2
69,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,,,,77.82,"('rtable_modelno', 'rtable_price')","[nan, nan]","[nan, 77.82]",0.06899467,0.93100536,2
68,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,,swingline,,77.82,"('rtable_brand', 'rtable_price')","[nan, nan]","['swingline', 77.82]",0.0247326,0.97526735,2
67,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,,swingline,,,"('rtable_brand', 'rtable_modelno')","[nan, nan]","['swingline', nan]",0.029307691,0.9706923,2
66,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,shredders,,,77.82,"('rtable_category', 'rtable_price')","[nan, nan]","['shredders', 77.82]",0.09059207,0.9094079,2
65,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,shredders,,,,"('rtable_category', 'rtable_modelno')","[nan, nan]","['shredders', nan]",0.1251669,0.87483305,2
77,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,,,,,"('rtable_modelno',)",[nan],[nan],0.07584043,0.9241595,2
64,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,shredders,swingline,,,"('rtable_category', 'rtable_brand')","[nan, nan]","['shredders', 'swingline']",0.046648514,0.95335144,2
62,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,,,,,"('rtable_modelno',)",[nan],[nan],0.07584043,0.9241595,2
61,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,,swingline,,,"('rtable_brand',)",[nan],['swingline'],0.029307691,0.9706923,2
60,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,shredders,,,,"('rtable_category',)",[nan],['shredders'],0.1251669,0.87483305,2
123,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,,,,,"('rtable_price',)",[nan],[nan],0.07584045,0.9241595,2
