,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category',)",['electronics - general'],['projection screens'],0.48174804,0.5182519,2
20,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,8729.48,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_price')","['electronics - general', 2931.99]","['projection screens', 8729.48]",0.48174804,0.5182519,2
80,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_title', 'ltable_category')","['da-lite da-plex standard rear projection screen - 60 x 80 video format', 'electronics - general']","['da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format', 'screens']",0.18618293,0.813817,2
65,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_title', 'ltable_category')","['da-lite da-plex standard rear projection screen - 60 x 80 video format', 'electronics - general']","['da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video', 'projection screens']",0.12334912,0.87665087,2
33,da-lite da-glas thru-the-wall rear projection screen - 90,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_title', 'ltable_category')","['da-lite da-plex standard rear projection screen - 60 x 80 video format', 'electronics - general']","['da-lite da-glas thru-the-wall rear projection screen - 90', 'projection screens']",0.3198397,0.6801603,2
34,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_brand')","['electronics - general', 'da-lite']","['projection screens', 'da-lite']",0.48174804,0.5182519,2
35,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,23056,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_modelno')","['electronics - general', '27544']","['projection screens', '23056']",0.48174804,0.5182519,2
36,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,8729.48,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_price')","['electronics - general', 2931.99]","['projection screens', 8729.48]",0.48174804,0.5182519,2
48,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category',)",['electronics - general'],['projection screens'],0.48174804,0.5182519,2
49,da-lite da-glas thru-the-wall rear projection screen - 90 x 120,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_title', 'ltable_category')","['da-lite da-plex standard rear projection screen - 60 x 80 video format', 'electronics - general']","['da-lite da-glas thru-the-wall rear projection screen - 90 x 120', 'projection screens']",0.3317743,0.66822577,2
50,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_brand')","['electronics - general', 'da-lite']","['projection screens', 'da-lite']",0.48174804,0.5182519,2
51,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,23056,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_modelno')","['electronics - general', '27544']","['projection screens', '23056']",0.48174804,0.5182519,2
52,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,8729.48,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_price')","['electronics - general', 2931.99]","['projection screens', 8729.48]",0.48174804,0.5182519,2
68,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,8729.48,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_price')","['electronics - general', 2931.99]","['projection screens', 8729.48]",0.48174804,0.5182519,2
67,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,23056,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_modelno')","['electronics - general', '27544']","['projection screens', '23056']",0.48174804,0.5182519,2
66,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_brand')","['electronics - general', 'da-lite']","['projection screens', 'da-lite']",0.48174804,0.5182519,2
19,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,23056,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_modelno')","['electronics - general', '27544']","['projection screens', '23056']",0.48174804,0.5182519,2
18,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_brand')","['electronics - general', 'da-lite']","['projection screens', 'da-lite']",0.48174804,0.5182519,2
32,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category',)",['electronics - general'],['projection screens'],0.48174828,0.5182517,2
16,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category',)",['electronics - general'],['projection screens'],0.48174828,0.5182517,2
1,thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_title', 'ltable_category')","['da-lite da-plex standard rear projection screen - 60 x 80 video format', 'electronics - general']","['thru-the-wall rear projection screen - 90 x 120 video format', 'projection screens']",0.056115497,0.9438845,2
2,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_brand')","['electronics - general', 'da-lite']","['projection screens', 'da-lite']",0.48174804,0.5182519,2
3,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,23056,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_modelno')","['electronics - general', '27544']","['projection screens', '23056']",0.48174804,0.5182519,2
4,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,8729.48,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_price')","['electronics - general', 2931.99]","['projection screens', 8729.48]",0.48174804,0.5182519,2
17,rear projection screen - 90 x 120 video format,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_title', 'ltable_category')","['da-lite da-plex standard rear projection screen - 60 x 80 video format', 'electronics - general']","['rear projection screen - 90 x 120 video format', 'projection screens']",0.056115497,0.9438845,2
64,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category',)",['electronics - general'],['projection screens'],0.48174804,0.5182519,2
26,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,23056,8729.48,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_modelno', 'ltable_price')","['electronics - general', '27544', 2931.99]","['projection screens', '23056', 8729.48]",0.48174804,0.5182519,3
70,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video,projection screens,da-lite,23056,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_title', 'ltable_category', 'ltable_modelno')","['da-lite da-plex standard rear projection screen - 60 x 80 video format', 'electronics - general', '27544']","['da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video', 'projection screens', '23056']",0.12334912,0.87665087,3
8,da-lite da-plex standard rear projection screen - 60 x 80 video format,projection screens,da-lite,23056,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_category', 'ltable_brand', 'ltable_modelno')","['electronics - general', 'da-lite', '27544']","['projection screens', 'da-lite', '23056']",0.48174804,0.5182519,3
7,thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,27544,8729.48,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_title', 'ltable_category', 'ltable_price')","['da-lite da-plex standard rear projection screen - 60 x 80 video format', 'electronics - general', 2931.99]","['thru-the-wall rear projection screen - 90 x 120 video format', 'projection screens', 8729.48]",0.056115497,0.9438845,3
6,thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_title', 'ltable_category', 'ltable_modelno')","['da-lite da-plex standard rear projection screen - 60 x 80 video format', 'electronics - general', '27544']","['thru-the-wall rear projection screen - 90 x 120 video format', 'projection screens', '23056']",0.056115497,0.9438845,3
5,thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_title', 'ltable_category', 'ltable_brand')","['da-lite da-plex standard rear projection screen - 60 x 80 video format', 'electronics - general', 'da-lite']","['thru-the-wall rear projection screen - 90 x 120 video format', 'projection screens', 'da-lite']",0.056115497,0.9438845,3
23,rear projection screen - 90 x 120 video format,projection screens,da-lite,27544,8729.48,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_title', 'ltable_category', 'ltable_price')","['da-lite da-plex standard rear projection screen - 60 x 80 video format', 'electronics - general', 2931.99]","['rear projection screen - 90 x 120 video format', 'projection screens', 8729.48]",0.056115497,0.9438845,3
53,da-lite da-glas thru-the-wall rear projection screen - 90 x 120,projection screens,da-lite,27544,2931.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,"('ltable_title', 'ltable_category', 'ltable_brand')","['da-lite da-plex standard rear projection screen - 60 x 80 video format', 'electronics - general', 'da-lite']","['da-lite da-glas thru-the-wall rear projection screen - 90 x 120', 'projection screens', 'da-lite']",0.3317743,0.66822577,3
