,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,sony-pictures-digital-entertainment,19.99,reel deal casino championship edition,global-software-publishing,79.99,phantom efx reel deal casino shuffle master edition,1
1,sony-pictures-digital-entertainment,19.99,microsoft works suite 2006,global-software-publishing,17.24,phantom efx reel deal casino shuffle master edition,1
2,apple,29.95,reel deal casino championship edition,nan,99.95,phantom efx reel deal casino shuffle master edition,1
3,me-too-software,19.99,reel deal casino championship edition,riverdeep-learning-company,17.24,phantom efx reel deal casino shuffle master edition,0
4,me-too-software,49.99,reel deal casino championship edition,riverdeep-learning-company,17.24,phantom efx reel deal casino shuffle master edition,1
5,global-software-publishing,19.99,reel deal casino championship edition,sibelius-software-ltd .,17.24,phantom efx reel deal casino shuffle master edition,1
6,steinberg,19.99,reel deal casino championship edition,nan,79.99,phantom efx reel deal casino shuffle master edition,1
7,sony-pictures-digital-entertainment,19.99,reel deal casino championship edition,global-software-publishing,17.24,phantom efx reel deal casino shuffle master edition,1
8,global-software-publishing,39.99,reel deal casino championship edition,global-software-publishing,17.24,phantom efx reel deal casino shuffle master edition,1
9,sony-pictures-digital-entertainment,49.99,reel deal casino championship edition,sibelius-software-ltd .,17.24,phantom efx reel deal casino shuffle master edition,0
