,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,microsoft word 2007 version upgrade,microsoft,109.95,microsoft office visio standard 2007 ( pc ),nan,69.99,1
1,microsoft word 2007 version upgrade,microsoft,109.95,adobe after effects professional 7.0 software effects software,nan,69.99,0
2,quickbooks point-of-sale basic 6.0,microsoft,109.95,microsoft ( r ) money 2007 premium,nan,12.9,1
3,adobe acrobat 7.0 professional,microsoft,499.99,microsoft ( r ) money 2007 premium,nan,69.99,1
4,microsoft excel 2004 ( mac ),adobe,109.95,microsoft ( r ) money 2007 premium,nan,69.99,1
5,microsoft word 2007 version upgrade,microsoft,1299.0,microsoft ( r ) money 2007 premium,nan,99.99,1
6,microsoft word 2007 version upgrade,microsoft,109.95,microsoft ( r ) money 2007 premium,nan,229.95,1
7,mac os x server v10 .4.7 unlimited client,microsoft,109.95,microsoft ( r ) windows ( r ) xp professional edition with sp2,nan,69.99,1
8,microsoft word 2007 version upgrade,microsoft,39.95,microsoft office 2004 student/teacher,nan,69.99,1
9,adobe photoshop elements 4.0 ( mac ),microsoft,109.95,microsoft ( r ) money 2007 premium,nan,69.99,1
