,ltable_authors,ltable_title,ltable_venue,ltable_year,rtable_authors,rtable_title,rtable_venue,rtable_year,outcome
0,"s trisolini , m lenzerini , d nardi",database research at the university of illinois at urbana-champaign,vldb,2000.0,hwc zaniolo,using sql to build new aggregates and extenders for object-relational systems,nan,nan,0
1,"h wang , c zaniolo",join synopses for approximate query answering,nan,2000.0,hwc zaniolo,using sql to build new aggregates and extenders for object-relational systems,nan,nan,0
2,"h wang , c zaniolo",using sql to build new aggregates and extenders for object - relational systems,vldb,2000.0,hwc zaniolo,mocha : a self-extensible database middleware system for distributed data sources,nan,2003.0,0
3,"s acharya , p gibbons , v poosala , s ramaswamy",using sql to build new aggregates and extenders for object - relational systems,vldb,2000.0,hwc zaniolo,using sql to build new aggregates and extenders for object-relational systems,nan,nan,0
4,"h wang , c zaniolo",formal query languages for secure relational databases,vldb,2000.0,hwc zaniolo,using sql to build new aggregates and extenders for object-relational systems,nan,nan,0
5,"a balmin , v hristidis , n koudas , y papakonstantinou , d srivastava , t wang",editor 's notes,vldb,2000.0,hwc zaniolo,using sql to build new aggregates and extenders for object-relational systems,nan,nan,0
6,"h wang , c zaniolo",interview with jim gray,vldb,2000.0,hwc zaniolo,using sql to build new aggregates and extenders for object-relational systems,"sigmod conference ,",nan,0
7,"h wang , c zaniolo",using sql to build new aggregates and extenders for object - relational systems,vldb,2000.0,hwc zaniolo,guest editorial,nan,nan,0
8,"h wang , c zaniolo",using sql to build new aggregates and extenders for object - relational systems,vldb,2000.0,"m chavda , pt wood",using sql to build new aggregates and extenders for object-relational systems,nan,nan,0
9,"h wang , c zaniolo",editor 's notes,vldb,2000.0,"d beneventano , s bergamaschi , c sartori",using sql to build new aggregates and extenders for object-relational systems,nan,nan,0
