,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,outcome
0,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",nan,canon pixma mx700 multifunction photo printer 2186b002,"1 x phone line ( s ) black , metallic",639.95,0
1,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",nan,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",639.95,0
2,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,nan,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",639.95,1
3,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",nan,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",399.0,0
4,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",69.0,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",639.95,0
5,canon pixma multifunction printer mx310,toshiba 19 ' black lcd hdtv 19av500u 720p hd display dynalight back-light control theaterwide modes soundstrip speaker system hdmi digital input universal remote high-gloss bezel black finish,nan,sony bravia m series kdl-32m4000 32 ' lcd tv kdl32m4000,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",639.95,0
6,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",nan,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",199.95,0
7,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",nan,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",2294.9,0
8,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",nan,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",144.05,0
9,samsung 55 ' series 9 lcd black flat panel hdtv ln55a950,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",nan,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",639.95,0
