,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,999.0,individual software professor teaches microsoft office 2007,nan,400.34,1
1,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,instant immers japanese dlx 2 .,apple software,29.99,1
2,sims 2 glamour life stuff pack,macsoft,5099.0,individual software professor teaches microsoft office 2007,nan,29.99,1
3,learning quickbooks 2007,microsoft software,5099.0,individual software professor teaches microsoft office 2007,nan,28.5,1
4,microsoft visual studio test agent 2005 cd 1 processor license,adobe,5099.0,individual software professor teaches microsoft office 2007,nan,29.99,1
5,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,399.0,individual software professor teaches microsoft office 2007,nan,99.95,1
6,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,individual software professor teaches microsoft office 2007,global-software-publishing,46.95,0
7,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,individual software professor teaches microsoft office 2007,global-software-publishing,9.59,1
8,microsoft word 2007 version upgrade,microsoft software,5099.0,individual software professor teaches microsoft office 2007,global-software-publishing,29.99,1
9,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,999.0,apple apple mac os x server 10 4 7 10 client,nan,29.99,1
