,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,los angeles lakers ipod touch 4g hard case fva4614,electronics - general,tribeca,99712,29.99,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,nan,97556,29.99,1
1,los angeles lakers ipod touch 4g hard case fva4614,electronics - general,tribeca,am-p16b,29.99,kodak esp 7 all-in-one printer 149.29,computers accessories,nan,nan,29.99,1
2,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,electronics - general,samsung,nan,29.99,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,nan,nan,29.99,1
3,los angeles lakers ipod touch 4g hard case fva4614,electronics - general,tribeca,89939,29.99,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,nan,nan,29.99,1
4,los angeles lakers ipod touch 4g hard case fva4614,electronics - general,paper mate,nan,29.99,da-plex base rear projection screen - 57 3 4 x 77 video format projection screens da-lite,computers accessories,nan,nan,29.99,1
5,los angeles lakers ipod touch 4g hard case fva4614,networking,nan,nan,29.99,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,nan,nan,29.99,1
6,los angeles lakers ipod touch 4g hard case fva4614,nan,tribeca,nan,29.99,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,nan,nan,29.99,1
7,los angeles lakers ipod touch 4g hard case fva4614,hard drives,lexmark,nan,29.99,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,nan,nan,29.99,1
8,los angeles lakers ipod touch 4g hard case fva4614,electronics - general,tribeca,nan,29.99,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,graphics cards,nan,nan,29.99,1
9,los angeles lakers ipod touch 4g hard case fva4614,electronics - general,tribeca,74109,29.99,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,nan,icon4-blk,29.99,1
