,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,arkon,mp3 accessories,am-p16b,17.13,griffin ipod touch 4g formfit case pink clear,griffin technology,cases,gb01959,7.53,griffin technology formfit for ipod touch 4g pink clear,0
1,zotac,mp3 accessories,gb01959,17.13,griffin ipod touch 4g formfit case pink clear,griffin technology,cases,ktd-ws667 / 8g,7.53,griffin technology formfit for ipod touch 4g pink clear,0
2,arkon,mp3 accessories,gb01959,0.0,griffin ipod touch 4g formfit case pink clear,griffin technology,cases,gb01959,7.53,antec tricool case fan tricool 120mm,0
3,arkon,mp3 accessories,gb01959,17.13,griffin ipod touch 4g formfit case pink clear,griffin technology,inkjet printer ink,1252972,7.53,griffin technology formfit for ipod touch 4g pink clear,0
4,arkon,mp3 accessories,gb01959,17.13,griffin ipod touch 4g formfit case pink clear,avf,cases,ce285a,7.53,griffin technology formfit for ipod touch 4g pink clear,0
5,arkon,mp3 accessories,512p31310lr,95.88,griffin ipod touch 4g formfit case pink clear,griffin technology,cases,gb01959,7.53,griffin technology formfit for ipod touch 4g pink clear,0
6,arkon,printers,gb01959,4.87,griffin ipod touch 4g formfit case pink clear,griffin technology,cases,gb01959,7.53,griffin technology formfit for ipod touch 4g pink clear,0
7,arkon,mp3 accessories,tricool 92mm dbb,17.13,griffin ipod touch 4g formfit case pink clear,griffin technology,cases,35106,7.53,griffin technology formfit for ipod touch 4g pink clear,0
8,arkon,mp3 accessories,gb01959,17.13,griffin ipod touch 4g formfit case pink clear,griffin technology,cables interconnects,gb01959,7.53,san francisco 49ers ipod touch 4g hard case,0
9,elite screens,mp3 accessories,gb01959,17.13,griffin ipod touch 4g formfit case pink clear,griffin technology,cases,q3675a,7.53,griffin technology formfit for ipod touch 4g pink clear,0
