,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
283,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Rockbottom FizzGig,Rockbottom Brewpub,Barley Wine,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Figure Eight Bourbon Barrel Aged Jumbo Love', 'Figure Eight Brewing']","['Rockbottom FizzGig', 'Rockbottom Brewpub']",0.3878595232963562,0.6121404767036438,2
425,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Bootjesbier,Figure Eight Brewing,Barley Wine,7 %,"('rtable_Beer_Name', 'rtable_ABV')","['Figure Eight Bourbon Barrel Aged Jumbo Love', '-']","['Bootjesbier', '7 %']",0.40487784147262573,0.5951221585273743,2
218,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Havannah,Figure Eight Brewing,Barley Wine,5.80 %,"('rtable_Beer_Name', 'rtable_ABV')","['Figure Eight Bourbon Barrel Aged Jumbo Love', '-']","['Havannah', '5.80 %']",0.2927892804145813,0.7072107195854187,2
217,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Havannah,Figure Eight Brewing,Amber Ale,-,"('rtable_Beer_Name', 'rtable_Style')","['Figure Eight Bourbon Barrel Aged Jumbo Love', 'Barley Wine']","['Havannah', 'Amber Ale']",0.28872811794281006,0.7112718820571899,2
216,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Havannah,Grande Brasserie de Nouvelle-CalÃ © donie SA ( Heineken ),Barley Wine,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Figure Eight Bourbon Barrel Aged Jumbo Love', 'Figure Eight Brewing']","['Havannah', 'Grande Brasserie de Nouvelle-CalÃ © donie SA ( Heineken )']",0.2900388836860657,0.7099611163139343,2
215,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Havannah,Figure Eight Brewing,Barley Wine,-,"('rtable_Beer_Name',)",['Figure Eight Bourbon Barrel Aged Jumbo Love'],['Havannah'],0.28255170583724976,0.7174482941627502,2
430,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Jaw Glide,Figure Eight Brewing,Barley Wine,-,"('rtable_Beer_Name',)",['Figure Eight Bourbon Barrel Aged Jumbo Love'],['Jaw Glide'],0.46991991996765137,0.5300800800323486,2
223,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Abbeydale Serenity,Figure Eight Brewing,Barley Wine,-,"('rtable_Beer_Name',)",['Figure Eight Bourbon Barrel Aged Jumbo Love'],['Abbeydale Serenity'],0.3813159465789795,0.6186840534210205,2
431,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Jaw Glide,Jaw Brew,Barley Wine,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Figure Eight Bourbon Barrel Aged Jumbo Love', 'Figure Eight Brewing']","['Jaw Glide', 'Jaw Brew']",0.42316967248916626,0.5768303275108337,2
433,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Jaw Glide,Figure Eight Brewing,Barley Wine,4.60 %,"('rtable_Beer_Name', 'rtable_ABV')","['Figure Eight Bourbon Barrel Aged Jumbo Love', '-']","['Jaw Glide', '4.60 %']",0.4257132411003113,0.5742867588996887,2
210,Headbutter,Oskar Blues Grill & Brew,American Amber / Red Ale,-,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Beer_Name', 'ltable_ABV')","[""Bulleit Bourbon Barrel Aged G'Knight"", '8.70 %']","['Headbutter', '-']",0.4428830146789551,0.5571169853210449,2
209,Headbutter,Oskar Blues Grill & Brew,American Barleywine,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Beer_Name', 'ltable_Style')","[""Bulleit Bourbon Barrel Aged G'Knight"", 'American Amber / Red Ale']","['Headbutter', 'American Barleywine']",0.48695671558380127,0.5130432844161987,2
208,Headbutter,Black Husky Brewing,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","[""Bulleit Bourbon Barrel Aged G'Knight"", 'Oskar Blues Grill & Brew']","['Headbutter', 'Black Husky Brewing']",0.4725238084793091,0.5274761915206909,2
207,Headbutter,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,"('ltable_Beer_Name',)","[""Bulleit Bourbon Barrel Aged G'Knight""]",['Headbutter'],0.48215776681900024,0.5178422331809998,2
