,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g4-ef,8.98,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g2-ef / purple,12.71,"('ltable_title', 'ltable_category')","['pny 4gb sdhc memory card class 4', 'usb drives']","['pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple', 'blank media']",0.47020793,0.5297921,2
18,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef,usb drives,pny,p-sdhc4g2-ef / purple,8.98,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g2-ef / purple,12.71,"('ltable_title', 'ltable_modelno')","['pny 4gb sdhc memory card class 4', 'p-sdhc4g4-ef']","['pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef', 'p-sdhc4g2-ef / purple']",0.40868276,0.5913172,2
40,4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,usb drives,pny,p-sdhc4g2-ef / purple,8.98,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g2-ef / purple,12.71,"('ltable_title', 'ltable_modelno')","['pny 4gb sdhc memory card class 4', 'p-sdhc4g4-ef']","['4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple', 'p-sdhc4g2-ef / purple']",0.38433775,0.6156623,2
27,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,usb drives,pny,p-sdhc4g4-ef,12.71,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g2-ef / purple,12.71,"('ltable_title', 'ltable_price')","['pny 4gb sdhc memory card class 4', 8.98]","['pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple', 12.71]",0.48546663,0.5145334,2
49,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,usb drives,pny,purple,8.98,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g2-ef / purple,12.71,"('ltable_title', 'ltable_modelno')","['pny 4gb sdhc memory card class 4', 'p-sdhc4g4-ef']","['pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple', 'purple']",0.33999568,0.6600043,2
50,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,usb drives,pny,p-sdhc4g4-ef,12.71,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g2-ef / purple,12.71,"('ltable_title', 'ltable_price')","['pny 4gb sdhc memory card class 4', 8.98]","['pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple', 12.71]",0.4854665,0.5145335,2
48,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g4-ef,8.98,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g2-ef / purple,12.71,"('ltable_title', 'ltable_category')","['pny 4gb sdhc memory card class 4', 'usb drives']","['pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple', 'blank media']",0.47020793,0.5297921,2
2,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,usb drives,pny,p-sdhc4g4-ef,12.71,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g2-ef / purple,12.71,"('ltable_title', 'ltable_price')","['pny 4gb sdhc memory card class 4', 8.98]","['pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple', 12.71]",0.48546663,0.5145334,2
1,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,usb drives,pny,/ purple,8.98,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g2-ef / purple,12.71,"('ltable_title', 'ltable_modelno')","['pny 4gb sdhc memory card class 4', 'p-sdhc4g4-ef']","['pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple', '/ purple']",0.12833889,0.8716611,2
26,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,usb drives,pny,p-sdhc4g2-ef / purple,8.98,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g2-ef / purple,12.71,"('ltable_title', 'ltable_modelno')","['pny 4gb sdhc memory card class 4', 'p-sdhc4g4-ef']","['pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple', 'p-sdhc4g2-ef / purple']",0.12833889,0.8716611,2
