,ltable_Album_Name,ltable_Artist_Name,ltable_CopyRight,ltable_Genre,ltable_Price,ltable_Released,ltable_Song_Name,ltable_Time,rtable_Album_Name,rtable_Artist_Name,rtable_CopyRight,rtable_Genre,rtable_Price,rtable_Released,rtable_Song_Name,rtable_Time,outcome
0,nan,nan,2015 KIDinaKORNER/Interscope Records,nan,$ 0.99,nan,Cameras 28-Mar-11,nan,nan,nan,( C ) 2015 KIDinaKORNER/Interscope Records,Rock,nan,"June 30 , 2015",Moving Day ( Interlude ) X Ambassadors VHS [ Explicit ] $ 1.29 0:19,nan,1
1,nan,nan,2015 KIDinaKORNER/Interscope Records,nan,$ 1.99,nan,"VHS Outro ( Interlude ) X Ambassadors VHS Alternative , Music , Rock , Adult Alternative $ 1.29 1:25 30-Jun-15",nan,nan,nan,( C ) 2015 KIDinaKORNER/Interscope Records,Alternative Rock,nan,"June 30 , 2015",Outversion Mark Ronson $ 0.99 ( c ) 2011 J'adore Records 1:50,nan,0
2,nan,nan,2015 KIDinaKORNER/Interscope Records,"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",nan,nan,Cameras 28-Mar-11,nan,nan,nan,( C ) 2015 KIDinaKORNER/Interscope Records,Alternative Rock,nan,"June 30 , 2015",Moving Day ( Interlude ) X Ambassadors VHS [ Explicit ] $ 1.29 0:19,nan,1
3,nan,nan,2015 KIDinaKORNER/Interscope Records,nan,nan,nan,"VHS Outro ( Interlude ) X Ambassadors VHS Alternative , Music , Rock , Adult Alternative $ 1.29 1:25 30-Jun-15",nan,nan,nan,( C ) 2015 KIDinaKORNER/Interscope Records,Alternative Rock,nan,"June 30 , 2015",45 Shinedown Leave A Whisper 2015 Mad Decent 4:09,nan,0
4,nan,nan,2015 KIDinaKORNER/Interscope Records,nan,nan,nan,"VHS Outro ( Interlude ) X Ambassadors VHS Alternative , Music , Rock , Adult Alternative $ 1.29 1:25 30-Jun-15",nan,nan,nan,( C ) 2015 KIDinaKORNER/Interscope Records,Alternative Rock,nan,"May 20 , 2003",X2CU Jason Derulo Pop 2011 Because Music,nan,1
5,nan,nan,2015 KIDinaKORNER/Interscope Records,"Dance , Music , Rock , House , Electronic",nan,22-Jun-12,"VHS Outro ( Interlude ) X Ambassadors VHS Alternative , Music , Rock , Adult Alternative $ 1.29 1:25 30-Jun-15",nan,nan,nan,( C ) 2015 KIDinaKORNER/Interscope Records,Alternative Rock,nan,"June 30 , 2015",Outversion Mark Ronson $ 0.99 ( c ) 2011 J'adore Records 1:50,nan,0
6,nan,nan,2015 KIDinaKORNER/Interscope Records,nan,nan,nan,"VHS Outro ( Interlude ) X Ambassadors VHS Alternative , Music , Rock , Adult Alternative $ 1.29 1:25 30-Jun-15",nan,nan,nan,( C ) 2015 KIDinaKORNER/Interscope Records,Pop,nan,"June 30 , 2015",45 Shinedown Leave A Whisper 2015 Mad Decent 4:09,nan,0
7,nan,nan,2015 KIDinaKORNER/Interscope Records,"Electronic , Music",nan,nan,"VHS Outro ( Interlude ) X Ambassadors VHS Alternative , Music , Rock , Adult Alternative $ 1.29 1:25 30-Jun-15",nan,nan,nan,( C ) 2015 KIDinaKORNER/Interscope Records,Alternative Rock,nan,"April 21 , 2015",X2CU Jason Derulo Pop 2011 Because Music,nan,1
8,nan,nan,2015 KIDinaKORNER/Interscope Records,nan,$ 0.99,nan,Cameras 28-Mar-11,nan,nan,nan,( C ) 2015 KIDinaKORNER/Interscope Records,Alternative Rock,nan,"June 30 , 2015",Moving Day ( Interlude ) X Ambassadors VHS [ Explicit ] $ 1.29 0:19,nan,1
9,nan,nan,2015 KIDinaKORNER/Interscope Records,"Soundtrack,Music,Hip-Hop / Rap , West Coast Rap , Gangsta Rap , Hardcore Rap , Rap , Soundtrack",nan,nan,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,nan,nan,nan,( C ) 2015 KIDinaKORNER/Interscope Records,Alternative Rock,nan,"June 30 , 2015","My Armor Is Iron Howard Shore The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtracks 2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc. 5:16 December 10 , 2013",nan,0
