,label,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,icon-icon4-blk neoprene notebook sleeve black,electronics - general,belkin,f8n132-blk,8.88,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,"('ltable_title',)",['belkin 10.2 netbook neoprene sleeve - black'],['icon-icon4-blk neoprene notebook sleeve black'],1,0,0.0022299637,0.9977701,2
29,,belkin 10.2 netbook neoprene sleeve - black,electronics - general,belkin,f8n132-blk,8.88,icon-icon4-blk neoprene notebook sleeve black,bags cases,belkin,icon4-blk,9.99,"('rtable_brand',)",['motion systems'],['belkin'],1,0,0.002402108,0.9975979,2
28,,belkin 10.2 netbook neoprene sleeve - black,electronics - general,belkin,f8n132-blk,9.99,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,"('ltable_price',)",[8.88],[9.99],1,0,0.0039047087,0.99609536,2
27,,belkin 10.2 netbook neoprene sleeve - black,electronics - general,belkin,icon4-blk,8.88,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,"('ltable_modelno',)",['f8n132-blk'],['icon4-blk'],1,0,0.008836064,0.99116397,2
26,,belkin 10.2 netbook neoprene sleeve - black,electronics - general,motion systems,f8n132-blk,8.88,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,"('ltable_brand',)",['belkin'],['motion systems'],1,0,0.0015748224,0.99842525,2
25,,belkin 10.2 netbook neoprene sleeve - black,electronics - general,belkin,f8n132-blk,8.88,icon-icon4-blk neoprene notebook sleeve black,complete tripod units,motion systems,icon4-blk,9.99,"('rtable_category',)",['bags cases'],['complete tripod units'],1,0,0.016142631,0.9838574,2
24,,belkin 10.2 netbook neoprene sleeve - black,electronics - general,belkin,f8n132-blk,8.88,new-iluv icc617clr ipod touch 4g pc clear case - ilv617clr,bags cases,motion systems,icon4-blk,9.99,"('rtable_title',)",['icon-icon4-blk neoprene notebook sleeve black'],['new-iluv icc617clr ipod touch 4g pc clear case - ilv617clr'],1,0,0.0031198172,0.9968802,2
23,,belkin 10.2 netbook neoprene sleeve - black,electronics - general,belkin,f8n132-blk,9.99,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,"('ltable_price',)",[8.88],[9.99],1,0,0.0039047087,0.99609536,2
22,,belkin 10.2 netbook neoprene sleeve - black,electronics - general,belkin,icon4-blk,8.88,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,"('ltable_modelno',)",['f8n132-blk'],['icon4-blk'],1,0,0.008836064,0.99116397,2
21,,belkin 10.2 netbook neoprene sleeve - black,electronics - general,motion systems,f8n132-blk,8.88,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,"('ltable_brand',)",['belkin'],['motion systems'],1,0,0.0015748224,0.99842525,2
