,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,sony silver cyber-shot digital camera dscw150 8.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide silver finish,canon silver 8.0 megapixel powershot digital camera sd1100is,nan,"canon powershot sd1100 is 8 megapixels , iso 1600 , 3x optical zoom digital camera swing silver",canon powershot sd1100 is digital elph camera swing silver 2508b001,nan,1
1,sony silver cyber-shot digital camera dscw150 8.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide silver finish,canon silver 8.0 megapixel powershot digital camera sd1100is,nan,uniden tcx-905 tru-digital expansion handset with caller id,canon powershot sd1100 is digital elph camera swing silver 2508b001,nan,1
2,sony silver cyber-shot digital camera dscw150 8.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide silver finish,canon silver 8.0 megapixel powershot digital camera sd1100is,nan,"cd-rom , cd-r , cd-rw cd-text playback 5 disc ( s )",canon powershot sd1100 is digital elph camera swing silver 2508b001,nan,1
3,sony silver cyber-shot digital camera dscw150 8.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide silver finish,canon silver 8.0 megapixel powershot digital camera sd1100is,139.0,uniden tcx-905 tru-digital expansion handset with caller id,canon powershot sd1100 is digital elph camera swing silver 2508b001,nan,1
4,"samsung 46 ' series 8 lcd black flat panel hdtv ln46a850 1920 x 1080p full hd resolution touch of color design pre-loaded content library dlna super slim depth narrow bezel auto motion plus 120hz 50,000:1 dynamic contrast ratio 4ms response time srs trusurround built-in digital tuner ( atsc/clear qam ) black with red accent finish",canon silver 8.0 megapixel powershot digital camera sd1100is,599.0,"canon powershot sd1100 is 8 megapixels , iso 1600 , 3x optical zoom digital camera swing silver",canon powershot sd1100 is digital elph camera swing silver 2508b001,nan,1
5,panasonic kx-tga450b black 5.8 ghz cordless handset kxtga450b frequency hopping digital spread spectrum technology answering system with compatible base unit call waiting caller id join in/privacy 2-way intercom voice scramble black finish,canon silver 8.0 megapixel powershot digital camera sd1100is,nan,"canon powershot sd1100 is 8 megapixels , iso 1600 , 3x optical zoom digital camera swing silver",canon powershot sd1100 is digital elph camera swing silver 2508b001,397.77,1
6,"samsung 46 ' series 5 lcd black flat panel hdtv ln46a550 full 1080p high definition resolution 16:9 widescreen aspect ratio 30,000:1 dynamic contrast ratio 5ms response time srs trusurround xt audio built-in digital tuner ( atsc/clear qam ) picture-in-picture sound leveler 3 hdmi slots swivel stand black finish",canon silver 8.0 megapixel powershot digital camera sd1100is,nan,uniden tcx-905 tru-digital expansion handset with caller id,canon powershot sd1100 is digital elph camera swing silver 2508b001,nan,1
7,sony silver cyber-shot digital camera dscw150 8.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide silver finish,canon silver 8.0 megapixel powershot digital camera sd1100is,139.0,top loading leather red,canon powershot sd1100 is digital elph camera swing silver 2508b001,nan,0
8,panasonic kx-tga450b black 5.8 ghz cordless handset kxtga450b frequency hopping digital spread spectrum technology answering system with compatible base unit call waiting caller id join in/privacy 2-way intercom voice scramble black finish,canon silver 8.0 megapixel powershot digital camera sd1100is,nan,panasonic dect 6.0 series 4 handset cordless phone system with answering system,canon powershot sd1100 is digital elph camera swing silver 2508b001,397.77,1
9,sony silver cyber-shot digital camera dscw150 8.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide silver finish,canon pink 8.0 megapixel powershot digital camera sd1100isp,89.0,"samsung pn58a550 58 ' widescreen 1080p plasma hdtv 1,000,000:1 dynamic contrast ratio piano black",canon powershot sd1100 is digital elph camera swing silver 2508b001,399.0,0
