,summary,type,latency,match,label,row,prediction
0,"rtable_name     0.0
rtable_price    0.0
dtype: float64",certa,1.0343917850000253,0.0,0.0,445-910,[0.9201964  0.07980362]
1,"ltable_name           0.571429
ltable_description    0.571429
dtype: float64",certa,1.518284961000063,0.0,0.0,719-812,[9.999999e-01 8.489870e-08]
2,"rtable_description    0.2
dtype: float64",certa,0.973792764999871,0.0,0.0,550-664,[0.98882025 0.01117978]
3,"ltable_price    0.6
dtype: float64",certa,1.157428611999876,0.0,1.0,942-949,[0.9824875  0.01751247]
4,"ltable_name/ltable_description    0.1
dtype: float64",certa,2.059105642000304,0.0,0.0,643-636,[0.9983785  0.00162147]
5,"ltable_name/ltable_description    0.4
dtype: float64",certa,1.1401912450000964,0.0,0.0,495-578,[0.68842345 0.31157655]
6,"ltable_description    0.25
dtype: float64",certa,1.2892318479998721,0.0,0.0,994-336,[9.9999869e-01 1.2921075e-06]
7,"rtable_name/rtable_description    0.2
dtype: float64",certa,1.4056031979998806,0.0,0.0,808-127,[1.0000000e+00 1.2545928e-10]
8,"ltable_name/ltable_description    0.2
dtype: float64",certa,1.6571006789999956,0.0,0.0,987-980,[0.9939055  0.00609448]
9,"ltable_price    0.8
dtype: float64",certa,0.7068314849998387,0.0,0.0,332-237,[0.67496586 0.32503414]
10,"ltable_name     0.0
ltable_price    0.0
dtype: float64",certa,1.2480060759999105,0.0,0.0,994-732,[9.9996400e-01 3.5962225e-05]
11,"ltable_name     0.0
ltable_price    0.0
rtable_name     0.0
rtable_price    0.0
dtype: float64",certa,1.0430771270002879,0.0,0.0,764-141,[9.9999976e-01 2.0370236e-07]
12,"rtable_name     0.0
rtable_price    0.0
dtype: float64",certa,2.1249884910002947,0.0,0.0,615-640,[1.0000000e+00 1.1176676e-08]
13,"rtable_name/rtable_description    0.333333
dtype: float64",certa,1.332292002000031,0.0,0.0,431-71,[0.96711683 0.03288313]
14,"rtable_name/rtable_description    0.1
dtype: float64",certa,1.008705485000064,0.0,0.0,805-399,[0.99243414 0.0075659 ]
15,"ltable_name/ltable_description    0.1
dtype: float64",certa,1.7018743369999356,0.0,0.0,987-653,[9.9999988e-01 1.3716578e-07]
16,"rtable_name/rtable_description    0.6
dtype: float64",certa,1.5188554999999724,0.0,0.0,710-660,[0.9953076 0.0046924]
17,"ltable_name     0.0
ltable_price    0.0
rtable_name     0.0
rtable_price    0.0
dtype: float64",certa,0.9990777499997421,0.0,0.0,191-301,[0.9444358  0.05556421]
18,"ltable_description/ltable_price    0.5
dtype: float64",certa,0.8305697749997307,0.0,0.0,169-235,[0.69307554 0.30692446]
19,"ltable_name/ltable_description    0.5
dtype: float64",certa,1.1187288890000673,0.0,0.0,677-891,[0.74688536 0.25311464]
20,"ltable_name     0.0
ltable_price    0.0
rtable_name     0.0
rtable_price    0.0
dtype: float64",certa,0.9253790930001742,0.0,0.0,280-300,[1.000000e+00 4.198674e-11]
21,"rtable_name/rtable_description    0.142857
dtype: float64",certa,1.6534425139998348,0.0,0.0,523-954,[1.0000000e+00 3.6835117e-09]
