,ltable_id,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_id,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,match,label
0,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,0.03983540087938309,0
1,621,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card zotac,electronics - general,,zt-40604-10l,88.88,3167,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,graphics cards,evga,01g-p3-1452-tr,119.88,0.052251752465963364,0
2,2115,da-lite high power model b manual screen with csr - 84 x 84 av format electronics - general da-lite 85303 372.99,,,,,8789,da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power da-lite 904.95,home audio theater,,,,0.04538805037736893,0
3,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,0.059397563338279724,0
4,1673,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim,,,,11.98,13279,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98,,verbatim,97556,,0.04540368914604187,0
5,2305,clickfree c2 500gb usb 3.0 portable external hard drive clickfree,hard drives,,hd527b3,84.98,2948,iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49,computers accessories,,,,0.048586130142211914,0
6,1543,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g electronics - general apc be750g 95.88,,,,,10366,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply batteries chargers accessories apc,,,be450g,55.99,0.06652690470218658,0
7,88,balt wheasel easel adjustable melamine dry erase board white stationery & office machinery,,balt,33250,239.88,3269,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white laminating supplies,,mayline,,134.45,0.8149368762969971,1
8,1718,kodak esp 3250 all-in-one printer value bundle,printers,,,58.0,11835,kodak esp 7 all-in-one printer 149.29,all-in-one printers,kodak,1252972,,0.029222454875707626,0
9,1624,hp q3675a image transfer kit hp 194.84,printers,,q3675a,,5013,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,cleaning repair,,q3675a,,0.9485833644866943,1
10,614,atrend-bbox a361-12cp b box series speaker car stereos a361-12cp,,atrend,,56.88,5969,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch coaxial speakers atrend-bbox,,,a362-12cp,88.85,0.8162084817886353,0
11,768,accell ultraav displayport multi-monitor adapter 198.35,electronics - general,accell,k087b-005b,,10397,accell ultraav b101b-003b display port with vga active adapter accell b101b-003b 24.99,,,,,0.045176804065704346,0
12,2476,ifrogz ipod touch 4 luxe lean case white ifrogz it4ll-wht 24.99,mp3 accessories,,,,18730,ifrogz luxe lean case for ipod touch 4g gun metal cases ifrogz,,,it4ll-gmt,11.99,0.5943201184272766,0
13,470,iogear gbu421w6 bluetooth usb micro adapter iogear 14.84,networking,,gbu421w6,,10874,iogear bluetooth usb 2.1 micro adapter with tri-language package black computers accessories 15.17,,iogear,gbu421w6,,0.9581843614578247,1
