,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Ruby Red American Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.10 %,Bainbridge Island Arrow Point Amber,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5 %,1
1,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Big Time Lift Ticket American Red Ale,23rd Street Brewery,Amber Ale,5 %,0
2,Inception Series - Runnin ' With The Devil,Due South Brewing Co. .,American Amber / Red Ale,6.10 %,Genesee Brew House American Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5 %,0
3,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,American Strong Ale,5 %,1
4,Ruby Red American Ale,Great Storm Brewing Co. .,American Amber / Red Ale,6.10 %,Big Time Lift Ticket American Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5 %,0
5,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,18th Street Deal With the Devil Pale Ale,Genesee Brewing Company &#40; North American Breweries &#41;,India Pale Ale &#40; IPA &#41;,5 %,0
6,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Big Time Lift Ticket American Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5 %,0
7,Inception Series - Runnin ' With The Devil,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Genesee Brew House American Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,6.20 %,0
8,Inception Series - Runnin ' With The Devil,Fat Bottom Brewing,American Amber / Red Ale,9.70 %,Genesee Brew House American Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5 %,0
9,Ruby Red American Ale,Fat Bottom Brewing,American Barleywine,6.10 %,Marble Imperial Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5 %,0
