,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,intuit,9.99,musicalis guitar workshop,nan,12.9,musicalis universal guitar workshop,0
1,global-software-publishing,9.99,microsoft visual studio test agent 2005 cd 1 processor license,riverdeep-learning-company,12.9,musicalis universal guitar workshop,0
2,adobe,9.99,musicalis guitar workshop,global-software-publishing,149.95,musicalis universal guitar workshop,0
3,global-software-publishing,499.95,musicalis guitar workshop,riverdeep-learning-company,12.9,musicalis universal guitar workshop,0
4,global-software-publishing,69.95,musicalis guitar workshop,riverdeep-learning-company,12.9,musicalis universal guitar workshop,0
5,global-software-publishing,9.99,musicalis guitar workshop,nan,12.9,adobe after effects professional 7.0 software effects software,0
6,final draft,9.99,adobe flash pro cs3 upgrade [ mac ],global-software-publishing,12.9,musicalis universal guitar workshop,0
7,intuit,9.99,i transfer dvds 2 ipod edition ( win/mac ),global-software-publishing,12.9,musicalis universal guitar workshop,0
8,phantom efx,549.0,musicalis guitar workshop,global-software-publishing,12.9,musicalis universal guitar workshop,0
9,global-software-publishing,9.99,musicalis guitar workshop,nan,20.95,musicalis universal guitar workshop,0
