,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,microsoft onenote 2007 upgrade,microsoft,630.36,instant immersion spanish deluxe 2.0 topics,nan,88.8,1
1,mac os x server v10 .4.7 unlimited client,microsoft,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,nan,88.8,1
2,instant immersion ingles audio deluxe,steinberg,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,nan,88.8,1
3,microsoft onenote 2007 upgrade,microsoft,79.95,microsoft microsoft office 2004 software suite mac apple & mac software,nan,88.8,1
4,microsoft onenote 2007 upgrade,fogware publishing,79.95,ghost recon gold edition ( dvd-rom ),nan,88.8,1
5,microsoft onenote 2007 upgrade,microsoft,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,nan,539.95,1
6,microsoft onenote 2007 upgrade,final draft,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,nan,199.95,1
7,microsoft office & windows training,microsoft,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,nan,249.95,1
8,microsoft office 2004 professional ( mac ),adobe,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,nan,88.8,1
9,microsoft onenote 2007 upgrade,microsoft,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,global-software-publishing,499.0,1
