,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Blue Bridge Amber Dry Hopped,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,1
1,Good Medicine Strong Red Ale,Elevator Brewery & Draught Haus,American Barleywine,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,1
2,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,7.60 %,1
3,Three Sheets Barleywine ( Syrah Barrel Aged ),Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Big Island Red Giant Ale,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,1
4,Ruby Red American Ale,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,1
5,Bushfire American Red,Fifty West Brewing Co,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,1
6,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,9.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,7.09 %,1
7,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,-,Riverbend Barrel Aged Right Said Red,Bristol Brewing Company,American Strong Ale,9.20 %,1
8,Buffalo Soul Jah Imperial Red Ale,The Pike Brewing Company,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,1
9,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,5.50 %,1
