,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,nan,electronics - general,nan,88.88,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card zotac,evga,cables interconnects,nan,119.88,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,1
1,nan,usb drives,nan,88.88,da-lite da-plex deluxe rear projection screen - 96 x 96 av format electronics - general da-lite 27557 6426.99,kingston,cables interconnects,nan,119.88,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,1
2,nan,usb drives,nan,88.88,da-lite da-plex deluxe rear projection screen - 96 x 96 av format electronics - general da-lite 27557 6426.99,kingston,cables interconnects,nan,119.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers ts-a1683r,1
3,ep memory,electronics - general,q3675a,88.88,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card zotac,evga,graphics cards,q3675a,119.88,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,1
4,ep memory,hard drives,q3675a,4612.99,boss audio bv9958b - single-din in-dash dvd mp3 cd am fm receiver with full detachable 7 widescreen touchscreen tft monitor usb and sd memory card ports and front panel aux input boss bv9958b,evga,graphics cards,q3675a,11.99,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,1
5,nan,electronics - general,nan,88.88,da-lite da-plex deluxe rear projection screen - 96 x 96 av format electronics - general da-lite 27557 6426.99,kingston,cables interconnects,nan,119.88,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,1
6,nan,electronics - general,q3675a,88.88,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card zotac,evga,graphics cards,q3675a,119.88,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,1
7,nan,electronics - general,nan,88.88,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card zotac,kingston,cables interconnects,nan,119.88,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,1
8,ep memory,hard drives,q3675a,88.88,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card zotac,evga,graphics cards,q3675a,119.88,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,1
9,ep memory,hard drives,q3675a,4612.99,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card zotac,evga,graphics cards,q3675a,119.88,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,1
