,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,clickfree c2 500gb usb 3.0 portable external hard drive clickfree,hard drives,,hd527b3,84.98,sharpie 1735794 - retractable ultra fine tip permanent marker black blue red 3 set computers accessories sharpie,computers accessories,,,,"('rtable_title',)",['iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49'],['sharpie 1735794 - retractable ultra fine tip permanent marker black blue red 3 set computers accessories sharpie'],0.35514686,0.6448531,2
1,clickfree c2 500gb usb 3.0 portable external hard drive clickfree,hard drives,,hd527b3,84.98,sharpie 1735794 - retractable ultra fine tip permanent marker black blue red 3 set computers accessories sharpie,,,,,"('rtable_title', 'rtable_category')","['iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49', 'computers accessories']","['sharpie 1735794 - retractable ultra fine tip permanent marker black blue red 3 set computers accessories sharpie', nan]",0.3616092,0.6383909,2
2,clickfree c2 500gb usb 3.0 portable external hard drive clickfree,hard drives,,hd527b3,84.98,sharpie 1735794 - retractable ultra fine tip permanent marker black blue red 3 set computers accessories sharpie,computers accessories,,,,"('rtable_title', 'rtable_brand')","['iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49', nan]","['sharpie 1735794 - retractable ultra fine tip permanent marker black blue red 3 set computers accessories sharpie', nan]",0.35514686,0.6448531,2
3,clickfree c2 500gb usb 3.0 portable external hard drive clickfree,hard drives,,hd527b3,84.98,sharpie 1735794 - retractable ultra fine tip permanent marker black blue red 3 set computers accessories sharpie,computers accessories,,,,"('rtable_title', 'rtable_modelno')","['iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49', nan]","['sharpie 1735794 - retractable ultra fine tip permanent marker black blue red 3 set computers accessories sharpie', nan]",0.35514686,0.6448531,2
4,clickfree c2 500gb usb 3.0 portable external hard drive clickfree,hard drives,,hd527b3,84.98,sharpie 1735794 - retractable ultra fine tip permanent marker black blue red 3 set computers accessories sharpie,computers accessories,,,24.6,"('rtable_title', 'rtable_price')","['iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49', nan]","['sharpie 1735794 - retractable ultra fine tip permanent marker black blue red 3 set computers accessories sharpie', 24.6]",0.22042325,0.7795768,2
20,clickfree c2 500gb usb 3.0 portable external hard drive clickfree,hard drives,,hd527b3,84.98,tripp lite svga vga compact rgb coax monitor cable hd15 m m - 3 feet p502-003-sm cables interconnects p502-003-sm,computers accessories,,,7.88,"('rtable_title', 'rtable_price')","['iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49', nan]","['tripp lite svga vga compact rgb coax monitor cable hd15 m m - 3 feet p502-003-sm cables interconnects p502-003-sm', 7.88]",0.29100373,0.70899624,2
19,clickfree c2 500gb usb 3.0 portable external hard drive clickfree,hard drives,,hd527b3,84.98,tripp lite svga vga compact rgb coax monitor cable hd15 m m - 3 feet p502-003-sm cables interconnects p502-003-sm,computers accessories,,,,"('rtable_title', 'rtable_modelno')","['iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49', nan]","['tripp lite svga vga compact rgb coax monitor cable hd15 m m - 3 feet p502-003-sm cables interconnects p502-003-sm', nan]",0.34737486,0.6526251,2
18,clickfree c2 500gb usb 3.0 portable external hard drive clickfree,hard drives,,hd527b3,84.98,tripp lite svga vga compact rgb coax monitor cable hd15 m m - 3 feet p502-003-sm cables interconnects p502-003-sm,computers accessories,tripp lite,,,"('rtable_title', 'rtable_brand')","['iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49', nan]","['tripp lite svga vga compact rgb coax monitor cable hd15 m m - 3 feet p502-003-sm cables interconnects p502-003-sm', 'tripp lite']",0.38701373,0.61298627,2
17,clickfree c2 500gb usb 3.0 portable external hard drive clickfree,hard drives,,hd527b3,84.98,tripp lite svga vga compact rgb coax monitor cable hd15 m m - 3 feet p502-003-sm cables interconnects p502-003-sm,,,,,"('rtable_title', 'rtable_category')","['iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49', 'computers accessories']","['tripp lite svga vga compact rgb coax monitor cable hd15 m m - 3 feet p502-003-sm cables interconnects p502-003-sm', nan]",0.26462802,0.73537195,2
16,clickfree c2 500gb usb 3.0 portable external hard drive clickfree,hard drives,,hd527b3,84.98,tripp lite svga vga compact rgb coax monitor cable hd15 m m - 3 feet p502-003-sm cables interconnects p502-003-sm,computers accessories,,,,"('rtable_title',)",['iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49'],['tripp lite svga vga compact rgb coax monitor cable hd15 m m - 3 feet p502-003-sm cables interconnects p502-003-sm'],0.347375,0.65262496,2
